CHRM1	GPRASP2
GPRASP2	TXN
TXN	TP53
TP53	EGR1
TXN	NFKB1
NFKB1	SP1
GPRASP2	RPS6KA5
RPS6KA5	CREB1
GPRASP2	AGO1
AGO1	RELA
GPRASP2	EIF3E
EIF3E	NCOA3
NCOA3	CEBPA
TXN	NR3C1
NR3C1	SMAD3
TXN	COPS5
COPS5	SMAD4
GPRASP2	AP1G1
AP1G1	ARF1
ARF1	SPI1
GPRASP2	AGO2
AGO2	HSP90AA1
HSP90AA1	PPARA
GPRASP2	TRIM32
TRIM32	RXRA
NR3C1	RXRB
TRIM32	RARA
RARA	RXRG
GPRASP2	LRIF1
LRIF1	PPARG
CHRM2	SET
SET	TP53
TP53	SP1
SET	NR3C1
NR3C1	NFKB1
NR3C1	CREB1
SET	CCNB1
CCNB1	RELA
CHRM2	Set
Set	Csnk1e
Csnk1e	C1QBP
C1QBP	CEBPA
SET	APP
APP	CSNK1D
CSNK1D	SMAD4
APP	MAPK8
MAPK8	SPI1
APP	AKAP13
AKAP13	PPARA
Set	Cdk4
Cdk4	CTCF
CTCF	RXRA
NR3C1	NCOR2
NCOR2	RXRG
NR3C1	PPARG
CHRM3	SET
MAPK8	CEBPA
CHRM3	CSNK1A1
CSNK1A1	CSNK1D
CSNK1A1	HSP90AA1
APP	GSK3B
GSK3B	RXRA
TP53	RRM2
PPARA	NR1H3
PPARA	ACADM
PPARG	NR1H3
RXRA	NR1H3
RXRA	ACADM
RXRB	NR1H3
RXRB	ACADM
RXRG	NR1H3
RXRG	ACADM
EGR1	CD44
SP1	CD44
EGR1	CD9
SP1	CD9
SPI1	CHI3L1
CEBPA	FN1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
NFKB1	MAT2A
SP1	MAT2A
SPI1	SERPINB1
SMAD3	ZFP36
SMAD4	ZFP36
