ADRB1	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	YWHAQ
YWHAQ	E2F1
ARRB2	RPA1
RPA1	MOV10
MOV10	E2F2
TRIM28	E2F3
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	MAPK1
MAPK1	SP1
ARRB2	CDK3
CDK3	PPARA
ARRB2	AKT1
AKT1	CREB1
ARRB2	STAT1
ARRB2	CSK
CSK	CREBBP
CREBBP	FOSB
ADRB2	STAT3
STAT3	PML
PML	E2F4
ADRB2	VHL
VHL	E2F1
ADRB2	SHMT2
SHMT2	E2F2
STAT3	RB1
RB1	E2F3
STAT3	JUN
STAT3	NFKB1
STAT3	RELA
STAT3	SP1
RELA	PPARA
ADRB2	MAPK14
MAPK14	CREB1
STAT3	STAT1
STAT3	EP300
EP300	FOSB
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	XPO1
XPO1	E2F4
GNAI3	YWHAQ
S1PR1	TRIP6
TRIP6	BCAR1
BCAR1	E2F2
YWHAQ	TRIM28
TRIP6	CREB5
CREB5	JUN
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
YWHAQ	NCOA1
NCOA1	PPARA
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
XPO1	STAT1
TRIP6	SRC
SRC	CREBBP
KAT5	BRCA1
BRCA1	E2F4
KAT5	E2F1
KAT5	RB1
RB1	E2F2
MDFI	PIN1
PIN1	JUN
KAT5	EP300
EP300	NFKB1
KAT5	RELA
MDFI	VHL
VHL	SP1
KAT5	UBE2I
UBE2I	PPARA
EP300	STAT1
FOSB	GRIA2
JUN	GRIA2
NFKB1	IL1B
NFKB1	NFKBIA
RELA	IL1B
RELA	NFKBIA
JUN	IL1B
STAT1	CXCL10
STAT1	CXCL11
CREB1	CD74
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
JUN	GJA1
SP1	GJA1
CREB1	IL1B
SP1	IL1B
PPARA	NFKBIA
E2F4	TK1
