MAOB	NFYB
NFYB	EP300
EP300	RELA
NFYB	MYC
EP300	NFKB1
EP300	JUN
EP300	FOS
EP300	ETS1
EP300	STAT3
EP300	STAT1
AOC3	PRRG4
PRRG4	RBBP8
RBBP8	BARD1
BARD1	RELA
RBBP8	BRCA1
BRCA1	MYC
PRRG4	YAP1
YAP1	EP300
BRCA1	JUN
YAP1	PML
PML	FOS
BRCA1	ETS1
RBBP8	RB1
RB1	STAT3
YAP1	STAT1
ABAT	RAD23B
RAD23B	BRCA1
BRCA1	RELA
RAD23B	STAT6
STAT6	NFKB1
ABAT	CBS
CBS	UBE2I
UBE2I	FOS
RAD23B	HIF1A
HIF1A	STAT3
BRCA1	STAT1
GPT	CFL1
CFL1	PIN1
PIN1	RELA
CFL1	ARRB2
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	NFKBIA
NFKBIA	NFKB1
PIN1	JUN
ARRB2	POLR2E
POLR2E	FOS
CFL1	ALDOA
ALDOA	PIAS4
PIAS4	ETS1
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	STAT1
GPT2	APP
APP	EEF1D
EEF1D	RELA
APP	MYC
APP	GSK3B
GSK3B	NFKB1
APP	MAPK8
MAPK8	JUN
APP	MAPK7
MAPK7	FOS
MAPK7	ETS1
MAPK8	STAT3
GPT2	RTF1
RTF1	STAT1
NFKB1	VEGFA
NFKB1	VEGFC
RELA	VEGFA
RELA	VEGFC
STAT1	VEGFA
STAT1	VEGFC
STAT3	VEGFA
STAT3	VEGFC
ETS1	VEGFA
ETS1	VEGFC
FOS	VEGFA
FOS	VEGFC
JUN	VEGFA
JUN	VEGFC
MYC	VEGFA
MYC	VEGFC
