CA1	TFCP2
TFCP2	HDAC2
HDAC2	YY1
YY1	ATF6
TFCP2	SUMO1
SUMO1	PML
PML	JUN
SUMO1	DAXX
DAXX	ETS1
TFCP2	HDAC1
HDAC1	STAT3
HDAC2	CREBBP
HDAC1	EP300
HDAC2	HIF1A
PML	ARNT
SUMO1	TP53
HDAC2	MYC
HDAC1	PPARG
TFCP2	BAG6
BAG6	CDKN1A
CDKN1A	CEBPA
TP53	TFAP2A
PML	FOS
TFCP2	CASP8
CASP8	MAPK1
PML	MAPK3
HDAC2	ESR1
PML	YAP1
SUMO1	PIAS4
PIAS4	LEF1
SUMO1	HGS
HGS	DAZAP2
DAZAP2	TCF7
PML	TCF7L2
TFCP2	CDC73
CDC73	CTNNB1
CTNNB1	TCF7L1
YAP1	TEAD1
HDAC1	TRIM27
TRIM27	TEAD4
HDAC2	PHB2
PHB2	TEAD3
TFCP2	APBB1
APBB1	KAT5
KAT5	MAX
PML	ATF2
HDAC2	SP1
APBB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
SUMO1	UBE2I
UBE2I	ELK1
MYC	FOXO3
HDAC1	STAT1
SUMO1	PIAS2
PIAS2	STAT4
SUMO1	TNFRSF1A
TNFRSF1A	SOS1
EGFR	SOS2
EGFR	STAT2
TP53	STAT6
CDC73	HSP90AA1
HSP90AA1	NFIC
PML	RXRA
HDAC2	RARA
RARA	RXRB
SUMO1	NR1H4
NR1H4	RXRG
HDAC2	SP3
PIAS4	SMAD3
DAXX	SMAD4
TFCP2	EAF1
EAF1	TPM1
TPM1	JUND
PIAS2	FLI1
HDAC1	E2F4
HDAC1	CREB1
CREBBP	ATF4
HDAC1	NFKB1
HDAC2	RELA
HDAC1	POU2F1
HDAC1	SMAD2
SUMO1	MYB
TP53	EGR1
HDAC1	DDIT3
DDIT3	CREB3
TFCP2	RNF2
RNF2	ELAVL1
ELAVL1	CREB3L2
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
TFCP2	CBX8
CBX8	MOV10
MOV10	ATF6B
TFCP2	FBXL18
FBXL18	MDFI
MDFI	CREB5
UBE2I	PPARA
PML	FOXO1
CREBBP	JUNB
SUMO1	PARK2
PARK2	REL
BAG6	VCP
VCP	NFKB2
HSP90AA1	NR3C2
CREBBP	ATF1
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	YY1
CA2	NONO
NONO	HDAC3
HDAC3	JUN
NONO	SPI1
SPI1	ETS1
NONO	SMARCA4
SMARCA4	STAT3
SMARCA4	CREBBP
NONO	CTTN
CTTN	EP300
CDKN2A	HIF1A
CDKN2A	BRCA1
BRCA1	ARNT
CDKN2A	TP53
CDKN2A	MYC
NONO	SFPQ
SFPQ	PPARG
CDKN2A	C1QBP
C1QBP	CEBPA
BRCA1	TFAP2A
SPI1	FOS
SFPQ	MAPK1
BRCA1	MAPK3
SMARCA4	ESR1
NONO	PPP1CA
PPP1CA	YAP1
SMARCA4	CTNNB1
CTNNB1	LEF1
NONO	ORC5
ORC5	TAX1BP1
TAX1BP1	DAZAP2
CA2	SLC9A1
SLC9A1	DAXX
DAXX	TCF7L2
SMARCA4	NCOA1
NCOA1	TEAD1
NONO	HDAC1
CDKN2A	E2F1
E2F1	TEAD3
NONO	CSTF2
CSTF2	MAX
SLC4A1	CLU
CLU	MAPK9
MAPK9	ATF2
CDKN2A	SP1
SMARCA4	STAT5A
CDKN2A	NMI
NMI	STAT5B
CA2	HSPD1
HSPD1	APP
APP	ELK1
CLU	CHUK
CHUK	FOXO3
SMARCA4	STAT1
CDKN2A	PIAS2
SLC9A1	TNIK
TNIK	SOS1
ESR1	SOS2
SMARCA4	STAT2
SFPQ	STAT6
CDKN2A	HSP90AA1
NONO	TRIM24
TRIM24	RXRA
SMARCA4	NR3C1
NR3C1	RXRB
TRIM24	RARA
RARA	RXRG
SFPQ	SP3
SMARCA4	SMAD3
MAPK9	JUND
BRCA1	FLI1
HDAC3	E2F4
PPP1CA	CREB1
HDAC3	NFKB1
HDAC3	RELA
SMARCA4	SMAD2
NONO	SIN3A
SIN3A	MYB
CDKN2A	EGR1
HDAC3	CREB3
NONO	PTBP1
PTBP1	ELAVL1
HDAC3	RUNX1T1
CDKN2A	CDK6
CDK6	ATF6B
HSPD1	RGS20
RGS20	CREB5
HSP90AA1	PPARA
HSPD1	STUB1
STUB1	FOXO1
SMARCA4	JUNB
HSPD1	HSPA4
HSPA4	REL
CHUK	NFKB2
TRIM24	NR3C2
SPI1	ATF1
CA4	PIH1D1
