SLC22A6	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	HGS
HGS	DAZAP2
DAZAP2	LEF1
APP	MAPK8
MAPK8	SP1
APP	TAF6
TAF6	YAP1
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	NFIC
APP	ELK1
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
PANX1	GNAS
GNAS	C1QBP
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
GNAS	RUVBL1
RUVBL1	LEF1
C1QBP	PRKCZ
PRKCZ	SP1
C1QBP	AHCYL1
AHCYL1	YAP1
RUVBL1	ELAVL1
RUVBL1	CREBBP
CREBBP	ELK1
LEF1	DAZAP2
RUVBL1	CTNNB1
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	BIRC2
RELA	BIRC2
ELK1	BIRC2
YAP1	BIRC2
LEF1	BIRC2
TCF7	BIRC2
TCF7L2	BIRC2
TCF7L1	BIRC2
NFIC	ARG1
NFIC	C4BPB
SP1	CD44
