PCCB	LYPLA1
LYPLA1	DPYSL2
DPYSL2	LEF1
LEF1	SMAD2
SMAD2	ETV4
LYPLA1	APRT
APRT	APP
APP	HSPA8
HSPA8	ERG
APP	DDX54
DDX54	ESR1
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	AKAP13
AKAP13	PPARA
DPYSL2	NUMB
NUMB	TP53
APP	RFX5
RFX5	PPARG
APP	PHF8
PHF8	RARA
LEF1	CTNNB1
CTNNB1	PPARD
APRT	HECW2
HECW2	ELAVL1
ELAVL1	NFIC
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	SP1
HLCS	SNX27
SNX27	NTRK1
NTRK1	UBA2
UBA2	ETV4
NTRK1	HSPA8
SNX27	INSR
INSR	IRS1
IRS1	ESR1
INSR	SOCS3
SOCS3	NFKB1
NTRK1	RELA
RELA	PPARA
INSR	SOCS1
SOCS1	TP53
INSR	STAT5A
STAT5A	PPARG
INSR	SQSTM1
SQSTM1	RARA
NTRK1	CTNNB1
NTRK1	HSP90AA1
HSP90AA1	NFIC
INSR	PRKCD
PRKCD	SP1
MCCC2	HMGCL
HMGCL	LSM12
LSM12	SSB2
SSB2	UBA2
HMGCL	DNAJA1
DNAJA1	ERG
HMGCL	RNF126
RNF126	CDKN1A
CDKN1A	ESR1
HMGCL	HES1
HES1	STAT3
STAT3	NFKB1
RNF126	UBE2D2
UBE2D2	RELA
HES1	HSP90AA1
HSP90AA1	PPARA
CDKN1A	TP53
HMGCL	ARL6IP1
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	PPARG
HES1	PARP1
PARP1	RARA
HSP90AA1	PPARD
STAT3	SP1
PC	KPNA4
KPNA4	DAXX
DAXX	TP63
TP63	ETV4
PC	CCT6A
CCT6A	DNAJA1
KPNA4	TP53
TP53	ESR1
KPNA4	CUL4B
CUL4B	NFKB1
TP53	RELA
PC	RPS3A
RPS3A	HSP90AA1
PC	COPB1
COPB1	XRCC6
XRCC6	PPARG
RPS3A	PARP1
TP53	SP1
PCCA	PCCB
ACACA	BRCA1
BRCA1	TP63
BRCA1	HSPA8
BRCA1	ESR1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
BRCA1	UBE2I
UBE2I	PPARA
BRCA1	TP53
EP300	PPARG
EP300	RARA
BRCA1	CTNNB1
BRCA1	HSP90AA1
BRCA1	SP1
NFKB1	BIRC2
RELA	BIRC2
TP53	GADD45B
ESR1	ATP2B1
NFKB1	GADD45B
RELA	GADD45B
PPARA	FABP1
SP1	ADH6
NFIC	C4BPB
ESR1	GADD45B
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
RARA	GADD45B
NFIC	HSPA1A
SP1	ODC1
ERG	VIM
ETV4	VIM
