PCCB	LYPLA1
LYPLA1	ASNS
ASNS	PPP1CA
PPP1CA	CREB1
LYPLA1	APRT
APRT	HECW2
HECW2	ELAVL1
ELAVL1	TNF
LYPLA1	PRDX6
PRDX6	CASP8
CASP8	CEBPB
APRT	APP
APP	MAPK8
MAPK8	REL
ASNS	MAPK3
MAPK3	JUN
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
MAPK8	CEBPA
ELAVL1	HOXA5
LYPLA1	DPYSL2
DPYSL2	ARFIP1
ARFIP1	STAT3
STAT3	NFKB2
MAPK3	CREM
MAPK8	SPI1
HLCS	SNX27
SNX27	NTRK1
NTRK1	ABL1
ABL1	CREB1
NTRK1	HNRNPA1
HNRNPA1	TNF
NTRK1	RB1
RB1	CEBPB
SNX27	INSR
INSR	GRB2
GRB2	REL
NTRK1	PML
PML	JUN
INSR	SOCS3
SOCS3	NFKB1
NTRK1	RELA
NTRK1	C1QBP
C1QBP	CEBPA
NTRK1	RBFOX2
RBFOX2	HOXA5
NTRK1	STAT3
INSR	ARRB2
ARRB2	MAPK3
PML	SPI1
MCCC2	HMGCL
HMGCL	HES1
HES1	SIRT1
SIRT1	CREB1
HMGCL	LSM12
LSM12	PCBP1
PCBP1	HNRNPD
HNRNPD	TNF
HMGCL	RNF126
RNF126	EGFR
EGFR	CEBPB
HES1	HSPA4
HSPA4	REL
RNF126	CDKN1A
CDKN1A	JUN
HES1	STAT3
STAT3	NFKB1
RNF126	UBE2D2
UBE2D2	RELA
CDKN1A	CEBPA
HMGCL	DNAJA1
DNAJA1	ERG
ERG	ELAVL1
HMGCL	ARL6IP1
ARL6IP1	FBXW7
FBXW7	NFKB2
CDKN1A	HDAC1
HDAC1	CREM
ARL6IP1	GORASP2
GORASP2	NONO
NONO	SPI1
PC	KPNA4
KPNA4	DAXX
DAXX	CREB1
DAXX	HSPB1
HSPB1	TNF
DAXX	CEBPB
PC	COPB1
COPB1	GRB2
PC	RPS3A
RPS3A	DDIT3
DDIT3	JUN
KPNA4	CUL4B
CUL4B	NFKB1
KPNA4	TP53
TP53	RELA
KPNA4	APP
DDIT3	HOXA5
DAXX	TSG101
TSG101	NFKB2
DAXX	CREBBP
CREBBP	CREM
COPB1	ARF1
ARF1	SPI1
PCCA	PCCB
ACACA	BRCA1
BRCA1	CREB1
BRCA1	HNRNPA1
BRCA1	CEBPB
BRCA1	EP300
EP300	REL
BRCA1	JUN
EP300	NFKB1
BRCA1	RELA
BRCA1	SMAD3
SMAD3	CEBPA
EP300	MAPK14
MAPK14	HOXA5
RELA	NFKB2
BRCA1	CREBBP
BRCA1	RB1
RB1	SPI1
IFNG	ICAM1
TNF	ICAM1
TNF	SELE
NFKB2	ICAM1
CEBPB	CSRP1
REL	CSRP1
CEBPA	ICAM1
CEBPB	ICAM1
CREB1	ICAM1
CREM	ICAM1
JUN	ICAM1
NFKB1	ICAM1
REL	ICAM1
RELA	ICAM1
SPI1	ICAM1
CREB1	TG
CREB1	TH
CREM	TH
HOXA5	TH
