KCNJ11	YWHAB
YWHAB	PRKCZ
PRKCZ	SP1
YWHAB	YWHAQ
YWHAQ	YAP1
YWHAB	YWHAZ
YWHAZ	WWTR1
YWHAB	CYFIP2
CYFIP2	SMAD4
YWHAB	CDC25A
CDC25A	SMAD3
WWTR1	TEAD1
YWHAB	TRIM32
TRIM32	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
YWHAB	TSC2
TSC2	SMAD2
YWHAZ	TP53
YWHAB	ABL1
ABL1	CREB1
KCNJ1	SLC9A3R1
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	SP1
SLC9A3R1	YAP1
SLC9A3R1	YWHAZ
CAPN1	FHL2
FHL2	SMAD4
SLC9A3R1	PIK3CA
PIK3CA	SMAD3
YAP1	TEAD1
KCNJ1	SH3RF1
SH3RF1	UBE2D1
UBE2D1	TRIM27
YAP1	TEAD3
PIK3CA	SMAD2
YAP1	CREB1
ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	HDAC1
HDAC1	SP1
RAPGEF4	TRAF2
TRAF2	UBE2D1
UBE2D1	YAP1
ABCC8	KCNJ11
TRAF2	PIAS2
PIAS2	SMAD4
RAP1A	TSC2
TSC2	SMAD3
RAP1A	NTRK1
NTRK1	INSR
INSR	TEAD1
NTRK1	GOLGA2
GOLGA2	TEAD4
NTRK1	PHB2
PHB2	TEAD3
HDAC1	SMAD2
RAP1A	CDC42
CDC42	TP53
HDAC1	CREB1
YAP1	CTGF
WWTR1	CTGF
SMAD2	CTGF
SMAD3	CTGF
SMAD4	CTGF
TEAD1	CTGF
TEAD4	CTGF
TEAD3	CTGF
TP53	SESN1
CREB1	ADRB2
SP1	CTGF
TP53	PTTG1
TP53	S100B
