CACNA1C	COPS5
COPS5	HIF1A
COPS5	TP53
COPS5	JUN
COPS5	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
COPS5	NCOA1
NCOA1	ARNT
COPS5	CDK2
CDK2	TP73
CACNA1S	SRI
SRI	STAT3
STAT3	HIF1A
SRI	ANXA7
ANXA7	TP53
STAT3	JUN
SRI	TCF12
TCF12	CREBBP
STAT3	EP300
STAT3	PML
PML	ARNT
EP300	TP73
CACNB1	APP
APP	MCM7
MCM7	HIF1A
APP	MAPK8
MAPK8	TP53
MAPK8	JUN
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
APP	KAT5
KAT5	TP73
CACNB3	CACNA1C
CACNB4	CBX3
CBX3	FAF1
FAF1	HIF1A
CBX3	XRCC6
XRCC6	TP53
XRCC6	CREBBP
CREBBP	JUN
CBX3	POLR2A
POLR2A	EP300
CBX3	CBX5
CBX5	RB1
RB1	ARNT
CBX3	TALDO1
TALDO1	TP73
NR3C2	UBE2I
UBE2I	HIF1A
NR3C2	SUMO1
SUMO1	TP53
NR3C2	NR3C1
NR3C1	JUN
NR3C1	CREBBP
NR3C1	EP300
NR3C2	NCOA1
SUMO1	TP73
AHR	EP300
EP300	HIF1A
EP300	TP53
EP300	JUN
EP300	CREBBP
AHR	ARNT
JUN	GRIA2
CREBBP	NPPA
CREBBP	VEGFB
EP300	NPPA
EP300	VEGFB
HIF1A	NPPA
HIF1A	VEGFB
ARNT	NPPA
ARNT	VEGFB
TP73	BBC3
JUN	VEGFB
HIF1A	HSP90B1
JUN	NPPA
TP53	S100B
