ADORA1	GNAI2
GNAI2	ITCH
ITCH	TP63
TP63	NFKB1
GNAI2	NPM1
NPM1	RELA
ADORA2A	DRD2
DRD2	FLNA
FLNA	REL
REL	NFKB1
REL	RELA
PDE4B	MAGEA11
MAGEA11	EP300
EP300	NFKB1
EP300	RELA
RYR1	FKBP1A
FKBP1A	TXN
TXN	NFKB1
RYR1	RYR2
RYR2	PRKACA
PRKACA	RELA
PDE1A	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
PDE4A	SQSTM1
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
PDE4C	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
PDE4D	APP
PDE4D	MDM2
MDM2	RELA
PDE3A	JUP
JUP	NFKBIE
NFKBIE	NFKB1
NFKBIE	RELA
PDE9A	GORASP2
GORASP2	CUL3
PDE9A	SULT1E1
SULT1E1	TP53
TP53	RELA
PRKDC	NR3C1
NR3C1	NFKB1
PRKDC	BRCA1
BRCA1	RELA
PIK3CD	PIK3R1
PIK3R1	EP300
PIK3CD	PIK3R2
PIK3R2	HSPA8
HSPA8	RELA
PIK3CA	SMAD3
SMAD3	EP300
SMAD3	PML
PML	RELA
PIK3CB	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
ITPR1	BRCA1
BRCA1	EP300
ITPR3	CAV1
CAV1	CTNNB1
CTNNB1	EP300
CAV1	ESR1
ESR1	RELA
ATM	RELA
RELA	NFKB1
NFKB1	BCL2L1
NFKB1	BIRC7
RELA	BCL2L1
RELA	BIRC7
