GABRA1	PRKCD
PRKCD	SP1
PRKCD	TP53
PRKCD	EP300
EP300	ESR1
PRKCD	HSP90AA1
HSP90AA1	NFIC
HSP90AA1	PPARA
PRKCD	STAT3
STAT3	JUN
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
STAT3	RELA
EP300	CREBBP
STAT3	HIF1A
EP300	ARNT
PRKCD	ELAVL1
ELAVL1	CEBPA
STAT3	NFKB1
EP300	CREB1
EP300	FOS
EP300	ETS1
EP300	SMAD3
EP300	USF2
APP	MYC
EP300	TFAP2A
EP300	RARA
EP300	EPAS1
EP300	ATF2
SP1	POU2F1
EP300	SMAD4
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
TP53	ESR1
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	SMURF1
SMURF1	NFIC
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	PPARA
ZCCHC10	PIN1
PIN1	JUN
UBE2I	RXRA
SDCBP2	C1orf35
C1orf35	APP
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
TP53	RELA
TP53	CREBBP
TP53	EP300
TRAF6	HIF1A
HIF1A	ARNT
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
TP53	CREB1
UBE2I	FOS
TP53	ETS1
TP53	SMAD3
PIN1	PPARG
TP53	TFAP2A
PIN1	RARA
PRPF40A	TERF2IP
TERF2IP	EPAS1
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	ATF2
PRPF40A	XRCC6
XRCC6	POU2F1
ZCCHC10	SNIP1
SNIP1	SMAD4
GABRA4	APP
APP	MAPK8
MAPK8	SP1
MAPK8	TP53
APP	DDX54
DDX54	ESR1
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	NFIC
AKAP13	PPARA
MAPK8	JUN
APP	GSK3B
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	EEF1D
EEF1D	RELA
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
ELAVL1	ARNT
MAPK8	CEBPA
GSK3B	NFKB1
APP	KAT5
KAT5	CREB1
APP	MAPK7
MAPK7	FOS
MAPK7	ETS1
GSK3B	SMAD3
APP	RFX5
RFX5	PPARG
RELA	USF2
MYC	TFAP2A
APP	PHF8
PHF8	RARA
MCM7	EPAS1
APP	HSPA8
HSPA8	POU2F1
APP	CSNK1D
CSNK1D	SMAD4
GABRB1	NOD1
NOD1	HSP90AA1
HSP90AA1	SP1
NOD1	RNF34
RNF34	TP53
HSP90AA1	ESR1
NOD1	CASP9
CASP9	JUN
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
NOD1	UBC
UBC	CUL1
NOD1	PSMA7
PSMA7	HIF1A
HSP90AA1	ARNT
UBC	C1QBP
NOD1	COPS6
COPS6	NFKB1
UBC	ABL1
ABL1	FOS
NOD1	CFLAR
CFLAR	SMAD3
UBC	SFPQ
SFPQ	PPARG
UBC	BRCA1
BRCA1	USF2
HSP90AA1	MYC
UBC	E2F1
E2F1	RARA
HSP90AA1	EPAS1
UBC	CUL3
CUL3	ATF2
BRCA1	POU2F1
UBC	FHL2
FHL2	SMAD4
GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
TRAK2	GSK3B
GSK3B	TP53
PRKAB2	PIAS2
PIAS2	ESR1
GSK3B	HSP90AA1
GSK3B	RELA
RELA	PPARA
GSK3B	JUN
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	GNB2L1
GNB2L1	HIF1A
PIAS2	ARNT
PRKAB2	YY1AP1
YY1AP1	CEBPA
GSK3B	CREB1
GSK3B	BCL3
BCL3	FOS
GSK3B	CTNNB1
CTNNB1	PPARG
GSK3B	MYC
GSK3B	MAPK1
MAPK1	RARA
SMAD3	EPAS1
SMAD3	ATF2
PRKAB2	PRKDC
PRKDC	POU2F1
PIAS2	SMAD4
GABRB3	MEOX2
MEOX2	RELA
RELA	SP1
RELA	TP53
RELA	ESR1
GABRB3	PRKACA
PRKACA	HSP90AA1
RELA	JUN
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
RELA	CREBBP
GABRB3	PRKCA
PRKCA	EP300
RELA	HIF1A
MEOX2	KAT5
KAT5	CEBPA
RELA	NFKB1
PRKACA	CREB1
RELA	FOS
MEOX2	TGFB1
TGFB1	SMAD3
PRKCA	PPARG
KAT5	MYC
MEOX2	PIN1
MEOX2	SPP1
SPP1	EPAS1
PRKACA	POU2F1
RELA	SMAD4
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	SP1
GABARAP	DVL2
DVL2	TP53
GABARAP	NCOA7
NCOA7	ESR1
GABARAP	KEAP1
KEAP1	HSP90AA1
GABARAP	ATG7
ATG7	SIRT1
SIRT1	PPARA
GABARAP	TAX1BP1
TAX1BP1	ITCH
ITCH	JUN
NEDD4	SRC
SRC	RXRA
NEDD4	PPARG
PPARG	RXRB
KEAP1	RELA
SMAD3	CREBBP
ATG7	EP300
GABARAP	SQSTM1
SQSTM1	HIF1A
SMAD3	CEBPA
TAX1BP1	TNIP1
TNIP1	NFKB1
NEDD4	AKT1
AKT1	CREB1
SMAD3	FOS
NEDD4	YY1
YY1	MYC
PPARG	TFAP2A
SQSTM1	RARA
NEDD4	EPRS
EPRS	POU2F1
SMAD3	SMAD4
GABRD	UBQLN1
UBQLN1	APP
UBQLN1	RAD23A
RAD23A	TP53
UBQLN1	UBE3A
UBE3A	ESR1
UBQLN1	PSEN2
UBQLN1	HCVgp1
HCVgp1	JUN
UBQLN1	UBQLN4
UBQLN4	RXRA
UBE3A	RARA
RARA	RXRG
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	C1QTNF2
C1QTNF2	ARNT
UBE3A	CEBPA
UBQLN1	ATXN3
ATXN3	CREB1
HCVgp1	SMAD3
RAD23B	BRCA1
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	MAP1LC3A
MAP1LC3A	EPAS1
GAPDH	POU2F1
GABRE	CUX1
CUX1	CCNA1
CCNA1	SP1
CUX1	EHMT2
EHMT2	TP53
CUX1	CDK7
CDK7	ESR1
CDK7	HSP90AA1
CUX1	SATB1
SATB1	UBE2I
GABRE	HLA-A
HLA-A	STAT3
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
SATB1	EP300
SATB1	PML
PML	ARNT
CUX1	BIN1
BIN1	MYC
MYC	CEBPA
CUX1	RECQL5
RECQL5	CREB1
GABRE	ALG9
ALG9	XBP1
XBP1	FOS
GABRE	GPAA1
GPAA1	PIN1
PIN1	SMAD3
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
GABRE	BSCL2
BSCL2	ZDHHC17
ZDHHC17	ATF2
FAM189B	HSPA8
FAM189B	WWP1
WWP1	SMAD4
GABRR1	BCR
BCR	RB1
RB1	SP1
BCR	TP53
BCR	HSP90AA1
RB1	JUN
GABRR1	DNM1L
DNM1L	GSK3B
RB1	PPARG
BCR	GRB2
GRB2	EP300
TP53	HIF1A
RB1	ARNT
RB1	CDKN1A
CDKN1A	CEBPA
BCR	HSPA4
HSPA4	NFKB1
BCR	ABL1
ABL1	CREB1
BCR	CBL
CBL	SMAD3
RB1	MYC
RB1	TFAP2A
GABRR1	TAX1BP1
TNIP1	RARA
RB1	ATF2
GRB2	HSPA8
BCR	HOXA9
HOXA9	SMAD4
NFKB1	BIRC7
RELA	BIRC7
TP53	GADD45B
FOS	MMP9
NFKB1	MMP9
RELA	MMP9
CREBBP	PFKFB3
CREBBP	SLC2A1
CREBBP	VEGFB
EP300	PFKFB3
EP300	SLC2A1
EP300	VEGFB
HIF1A	PFKFB3
HIF1A	SLC2A1
HIF1A	VEGFB
ARNT	PFKFB3
ARNT	SLC2A1
ARNT	VEGFB
SMAD3	SLC2A1
SMAD4	SLC2A1
NFKB1	GADD45B
NFKB1	CCL4
RELA	GADD45B
RELA	CCL4
TP53	SERPINB5
TP53	PMAIP1
TP53	RRM2
TP53	CCNG2
NFKB1	VEGFB
RELA	VEGFB
EPAS1	SLC2A1
EPAS1	VEGFB
ETS1	MMP9
ETS1	VEGFB
FOS	VEGFB
JUN	MMP9
JUN	VEGFB
MYC	MMP9
MYC	VEGFB
PPARA	ACSL3
PPARA	APOA1
PPARA	APOC3
PPARA	SCP2
PPARG	ACSL3
RXRA	ACSL3
RXRA	APOA1
RXRA	APOC3
RXRA	SCP2
