HTR2A	CBL
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	YWHAZ
YWHAZ	TP53
CBL	MAPK8
MAPK8	MYC
EP300	USF2
CBL	CTNNB1
CTNNB1	SP1
CBL	SMAD3
SMAD3	JUN
EP300	EGR1
CBL	HSPA4
HSPA4	NFKB1
CTNNB1	CREBBP
CTNNB1	HIF1A
EP300	ARNT
CTNNB1	PPARG
DRD2	FLNA
FLNA	LMNA
LMNA	RB1
RB1	TFAP2A
FLNA	RANBP2
RANBP2	TP53
DRD2	EPB41L1
EPB41L1	APP
APP	MYC
FLNA	REL
REL	EP300
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
FLNA	RBM39
RBM39	JUN
CDKN2A	EGR1
REL	NFKB1
REL	CREBBP
EPB41L1	COPS5
COPS5	HIF1A
DRD2	CALM1
CALM1	HSP90AA1
HSP90AA1	ARNT
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
GRIA2	SDCBP
SDCBP	KCTD1
KCTD1	TFAP2A
SDCBP	TRIM32
TRIM32	TP53
GRIA2	PICK1
PICK1	EFNB1
EFNB1	MYC
SDCBP	MID2
MID2	BRCA1
BRCA1	USF2
GRIA2	GRIP1
GRIP1	CTNNB1
SDCBP	MBD3
MBD3	JUN
GRIP1	CREBBP
CREBBP	EGR1
GRIP1	HDAC1
HDAC1	NFKB1
SDCBP	ZBTB8A
ZBTB8A	EP300
SDCBP	TRAF6
TRAF6	HIF1A
SDCBP	SIAH1
SIAH1	PIAS2
PIAS2	ARNT
GRIP1	PPARG
GRIA3	SDCBP
GRIA3	PICK1
GRIA3	GRIP1
JUN	CCND3
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	EDN1
EP300	CDKN1B
EP300	EDN1
HIF1A	CDKN1B
HIF1A	EDN1
ARNT	CDKN1B
ARNT	EDN1
PPARG	ACSL4
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
EGR1	CD44
SP1	CD44
JUN	GJA1
SP1	GJA1
JUN	MMP3
NFKB1	MMP3
TP53	PLK1
EGR1	TFPI2
JUN	TFPI2
NFKB1	TFPI2
SP1	TFPI2
