CHRM1	GPRASP2
GPRASP2	TXN
TXN	TP53
TXN	COPS5
COPS5	SMAD4
GPRASP2	AP1M1
AP1M1	BRCA1
BRCA1	FLI1
BRCA1	ATF1
GPRASP2	EIF3E
EIF3E	TRIM27
TRIM27	TAL1
EIF3E	FBXW7
FBXW7	MYC
TXN	PRDX1
PRDX1	YAP1
CHRM2	SET
SET	TP53
SET	APP
APP	CSNK1D
CSNK1D	SMAD4
APP	ELK1
ELK1	FLI1
SET	NR3C1
NR3C1	CREBBP
CREBBP	ATF1
CHRM2	Set
Set	Mib2
Mib2	UBC
UBC	TAL1
APP	MYC
SET	XPO1
XPO1	YAP1
CHRM3	SET
CHRM3	CSNK1A1
CSNK1A1	CSNK1D
SET	CCNB1
CCNB1	EP300
EP300	TAL1
YAP1	ID2
SMAD4	ID2
TP53	BAX
MYC	ID2
ATF1	ID2
FLI1	ID2
TAL1	ID2
TP53	PLK1
TP53	PRKAB1
FLI1	UPP1
