SLC22A6	APP
APP	MAPK8
MAPK8	SP1
MAPK8	JUN
APP	TAF6
TAF6	YAP1
APP	CSNK1D
CSNK1D	SMAD4
APP	GSK3B
GSK3B	SMAD3
APP	YWHAG
YWHAG	WWTR1
APP	MAPK7
MAPK7	ETS1
CSNK1D	SMAD2
APP	HGS
HGS	INSR
INSR	TEAD1
APP	MCM7
MCM7	TRIM27
TRIM27	TEAD4
APP	KAT5
KAT5	E2F1
E2F1	TEAD3
KAT5	CREB1
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
ELAVL1	NFIC
APP	EEF1D
EEF1D	RELA
RELA	USF2
MAPK8	CEBPA
PANX1	GNAS
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
C1QBP	PRKD1
PRKD1	JUN
C1QBP	AHCYL1
AHCYL1	YAP1
GNAS	RUVBL1
RUVBL1	LEF1
LEF1	SMAD4
RUVBL1	CREBBP
CREBBP	SMAD3
GNAS	SHMT2
SHMT2	YWHAZ
YWHAZ	WWTR1
CREBBP	ETS1
CREBBP	SMAD2
C1QBP	PRKCD
PRKCD	INSR
GNAS	GNG5
GNG5	GOLGA2
GOLGA2	TEAD4
C1QBP	PHB2
PHB2	TEAD3
CREBBP	CREB1
PRKCD	EP300
GNAS	GIPC1
GIPC1	MCM7
RUVBL1	ELAVL1
GIPC1	OGT
OGT	RELA
C1QBP	CEBPA
CREBBP	TFRC
EP300	TFRC
HIF1A	TFRC
ARNT	TFRC
YAP1	CTGF
YAP1	AFP
WWTR1	CTGF
WWTR1	AFP
SMAD2	CTGF
SMAD3	CTGF
SMAD4	CTGF
TEAD1	CTGF
TEAD4	CTGF
TEAD3	CTGF
SP1	ADH6
CEBPA	AFP
NFIC	AFP
SP1	AGT
USF2	APOC3
NFIC	C4BPB
SP1	CTGF
JUN	GJA1
SP1	GJA1
USF2	LIPC
ETS1	LYZ
SP1	SOD1
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
ETS1	TNNC1
JUN	TNNC1
SMAD2	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
