CACNA1C	COPS5
COPS5	JUN
COPS5	NCOA1
NCOA1	FOS
CACNA2D1	RAB11A
RAB11A	RAB5A
RAB5A	AP1G1
AP1G1	JUN
RAB11A	RCHY1
RCHY1	UBE2D1
UBE2D1	FOS
CACNA1S	SRI
SRI	STAT3
STAT3	JUN
STAT3	PML
PML	FOS
CALM1	AR
AR	JUN
CALM1	ESR1
ESR1	EP300
EP300	FOS
CALM2	CCND2
CCND2	RB1
RB1	JUN
CALM2	ADAMTS12
ADAMTS12	UBR1
UBR1	FOS
CALM3	CCND2
CALM3	APPBP2
APPBP2	APP
APP	MAPK7
MAPK7	FOS
KCNA1	KCNA4
KCNA4	SIRT1
SIRT1	JUN
SIRT1	FOS
CACNA1H	KLHL1
KLHL1	Csk
Csk	CSK
CSK	JUN
CSK	CREBBP
CREBBP	FOS
FOS	VEGFA
JUN	VEGFA
FOS	PENK
JUN	PENK
