MAOB	NFYB
NFYB	SP1
NFYB	HDAC1
HDAC1	HSF1
NFYB	EP300
EP300	NFKB1
EP300	RELA
NFYB	TP73
AOC3	PRRG4
PRRG4	RBBP8
RBBP8	BRCA1
BRCA1	SP1
PRRG4	YAP1
YAP1	STAT1
STAT1	HSF1
YAP1	EP300
RBBP8	BARD1
BARD1	RELA
YAP1	TP73
ABAT	RAD23B
RAD23B	BRCA1
ABAT	CBS
CBS	HSF1
RAD23B	STAT6
STAT6	NFKB1
BRCA1	RELA
BRCA1	TP73
GPT	CFL1
CFL1	PIN1
PIN1	SP1
CFL1	ARRB2
ARRB2	MAPK1
MAPK1	HSF1
ARRB2	NFKBIA
NFKBIA	NFKB1
PIN1	RELA
PIN1	TP73
GPT2	APP
APP	MAPK8
MAPK8	SP1
MAPK8	HSF1
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	KAT5
KAT5	TP73
TP73	BBC3
HSF1	HSPA8
NFKB1	GADD45B
NFKB1	CCL4
RELA	GADD45B
RELA	CCL4
NFKB1	CEBPB
RELA	CEBPB
SP1	HSPA8
SP1	KRT18
