GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	NFKB1
GSK3B	RELA
GSK3B	TP53
TRAK2	PRKAB2
PRKAB2	REL
REL	HDAC1
HDAC1	GLI2
TRAK2	GSK3A
GSK3A	GLI3
RELA	EGR1
PRKAB2	CRX
CRX	SP1
GSK3B	CTNNB1
CTNNB1	PPARG
PRKAB2	PRKDC
PRKDC	POU2F1
GABRB3	MEOX2
MEOX2	RELA
RELA	NFKB1
RELA	TP53
GABRB3	PRKACA
PRKACA	HDAC1
GABRB3	PRKCA
PRKCA	GLI3
RELA	SP1
PRKCA	PPARG
PRKACA	POU2F1
SCN4A	SLC9A3R1
SLC9A3R1	RPS3
RPS3	NFKB1
RPS3	RELA
SLC9A3R1	YWHAZ
YWHAZ	TP53
SCN4A	CALM1
CALM1	ESR1
ESR1	HDAC1
CALM1	KRAS
KRAS	GLI3
TP53	EGR1
ESR1	SP1
YWHAZ	CTNNB1
YWHAZ	XRCC6
XRCC6	POU2F1
SCN2A	ANK3
ANK3	TIAM1
TIAM1	BTRC
BTRC	NFKB1
BTRC	RELA
BTRC	TP53
TIAM1	PPP1R9B
PPP1R9B	PPP1CC
PPP1CC	HDAC1
TIAM1	CSNK1A1
CSNK1A1	GLI3
PPP1R9B	CDKN2A
CDKN2A	EGR1
BTRC	SP1
TIAM1	RAC1
RAC1	SFPQ
SFPQ	PPARG
RAC1	LMNB1
LMNB1	POU2F1
GABRA1	PRKCD
PRKCD	STAT3
STAT3	NFKB1
STAT3	RELA
PRKCD	TP53
STAT3	HDAC1
PRKCD	GSK3A
PRKCD	EP300
EP300	EGR1
PRKCD	SP1
EP300	PPARG
SP1	POU2F1
GABRA3	SDCBP2
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	RELA
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	HDAC1
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	KRAS
TP53	SP1
ZCCHC10	PIN1
PIN1	PPARG
SDCBP2	PRPF40A
PRPF40A	XRCC6
GABRA4	APP
APP	GSK3B
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	TP53
APP	APBB1
APBB1	HDAC1
HDAC1	GLI3
MAPK8	SP1
APP	RFX5
RFX5	PPARG
APP	HSPA8
HSPA8	POU2F1
GABRB1	NOD1
NOD1	COPS6
COPS6	NFKB1
NOD1	RNF34
RNF34	TP53
TP53	HDAC1
NOD1	HSP90AA1
HSP90AA1	FBXW11
FBXW11	GLI3
HSP90AA1	SP1
NOD1	UBC
UBC	SFPQ
UBC	BRCA1
BRCA1	POU2F1
GABRD	UBQLN1
UBQLN1	APP
UBQLN1	RAD23A
RAD23A	TP53
UBQLN1	RAP1GDS1
RAP1GDS1	KRAS
RAD23A	CREBBP
CREBBP	EGR1
UBQLN1	GAPDH
GAPDH	POU2F1
GABRE	HLA-A
HLA-A	STAT3
GABRE	CUX1
CUX1	EHMT2
EHMT2	TP53
CUX1	TLE4
TLE4	HDAC1
CUX1	SATB1
SATB1	EP300
CUX1	CCNA1
CCNA1	SP1
GABRE	GPAA1
GPAA1	PIN1
GABRE	FAM189B
FAM189B	HSPA8
GABRG2	GABARAP
GABARAP	TAX1BP1
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
GABARAP	DVL2
DVL2	TP53
GABARAP	RB1CC1
RB1CC1	SKI
SKI	GLI2
KEAP1	FBXW11
GABARAP	NEDD4
NEDD4	ERBB3
ERBB3	EGR1
NEDD4	SMAD3
SMAD3	SP1
NEDD4	PPARG
NEDD4	EPRS
EPRS	POU2F1
GLI2	GLI1
GLI3	GLI1
TP53	GADD45A
NFKB1	TNF
RELA	TNF
NFKB1	HIF1A
RELA	HIF1A
TP53	BAX
PPARG	PLIN1
EGR1	CD9
SP1	CD9
NFKB1	GADD45A
POU2F1	GADD45A
PPARG	GADD45A
TP53	S100B
EGR1	TNF
POU2F1	TNF
SP1	TNF
