GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
TRAK2	PRKAG1
PRKAG1	SIP2
SIP2	YAP1
TRAK2	GSK3B
GSK3B	JUN
PRKAB2	PIAS2
PIAS2	SMAD4
YAP1	TEAD1
PRKAB2	GOLGA2
GOLGA2	TEAD4
YAP1	TEAD3
GSK3B	SMAD3
SMAD3	SMAD2
GSK3B	PPP1CA
PPP1CA	WWTR1
GSK3B	NFKB1
GSK3B	RELA
RELA	PPARA
GSK3B	TP53
GSK3B	CTNNB1
CTNNB1	PPARD
CTNNB1	PPARG
PIAS2	ESR1
GSK3B	MAPK1
MAPK1	RARA
GSK3B	RXRA
TRAK2	KLC1
KLC1	APP
APP	AKAP13
AKAP13	RXRB
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
GSK3B	CREB1
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	YY1AP1
YY1AP1	CEBPA
TP53	ETS1
PRKAB2	REL
REL	NFKB2
RELA	EGR1
GSK3B	MYC
PRKAB2	CSNK2B
CSNK2B	STAT5A
GSK3B	PTPN11
PTPN11	STAT5B
PRKAB2	GATA1
GATA1	FLI1
RELA	USF2
GSK3B	BCL3
BCL3	STAT3
GNB2L1	STAT1
GABRB3	MEOX2
MEOX2	RELA
RELA	SP1
MEOX2	PIN1
PIN1	YAP1
RELA	JUN
RELA	SMAD4
MEOX2	PRKAB2
MEOX2	KAT5
KAT5	E2F1
E2F1	TEAD3
MEOX2	TGFB1
TGFB1	SMAD2
TGFB1	SMAD3
GABRB3	PRKCA
PRKCA	YWHAG
YWHAG	WWTR1
RELA	NFKB1
RELA	TP53
GABRB3	PRKACA
PRKACA	HDAC1
HDAC1	PPARD
PRKCA	PPARG
RELA	ESR1
PIN1	RARA
RELA	RXRA
MEOX2	RARB
RARB	RXRB
RARB	RXRG
PRKACA	CREB1
RELA	HIF1A
KAT5	CEBPA
PRKCA	EP300
EP300	ETS1
RELA	NFKB2
KAT5	MYC
MEOX2	POM121C
POM121C	STAT5A
PRKACA	EGFR
EGFR	STAT5B
RELA	BRCA1
BRCA1	FLI1
RELA	STAT3
MEOX2	CIAPIN1
CIAPIN1	STAT1
SCN4A	CALM1
CALM1	ESR1
ESR1	SP1
SCN4A	SLC9A3R1
SLC9A3R1	YAP1
CALM1	AR
AR	JUN
AR	SMAD4
ESR1	GOLGA2
SLC9A3R1	PIK3CA
PIK3CA	SMAD2
PIK3CA	SMAD3
SLC9A3R1	YWHAZ
YWHAZ	WWTR1
SLC9A3R1	RPS3
RPS3	NFKB1
RPS3	RELA
CALM1	HSP90AA1
HSP90AA1	PPARA
YWHAZ	TP53
HSP90AA1	PPARD
YWHAZ	CTNNB1
CALM1	AKT1
AKT1	RARA
SLC9A3R1	YWHAQ
YWHAQ	NRIP1
NRIP1	RXRA
ESR1	NR2C2
NR2C2	RXRB
YWHAZ	AJUBA
AJUBA	RXRG
YAP1	CREB1
SLC9A3R1	CAPN1
CAPN1	HIF1A
YWHAZ	NFATC4
NFATC4	CEBPA
CAPN1	STAT3
STAT3	NFKB2
TP53	EGR1
ESR1	MYC
ESR1	STAT5A
YAP1	EGFR
YWHAZ	PRKCD
PRKCD	FLI1
YAP1	EP300
EP300	USF2
PIK3CA	STAT1
SCN2A	ANK3
ANK3	TIAM1
TIAM1	BTRC
BTRC	SP1
BTRC	YAP1
TIAM1	MAPK8IP1
MAPK8IP1	JUN
BTRC	SMAD4
TIAM1	PPP1R9B
PPP1R9B	DCX
DCX	GOLGA2
BTRC	E2F1
TIAM1	RAC1
RAC1	PIAS3
PIAS3	SMAD2
PIAS3	SMAD3
BTRC	WWTR1
BTRC	NFKB1
BTRC	RELA
BTRC	TP53
BTRC	CTNNB1
RAC1	SFPQ
SFPQ	PPARG
PPP1R9B	PPP1CC
PPP1CC	ESR1
RAC1	HACE1
HACE1	RARA
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	RXRA
SFPQ	NR3C1
NR3C1	RXRB
BTRC	NCOR2
NCOR2	RXRG
ANK3	KCNC1
KCNC1	CAMK2A
CAMK2A	CREB1
PPP1R9B	CDKN2A
CDKN2A	HIF1A
NCOA3	CEBPA
NCOA3	ETS1
BTRC	NFKB2
CDKN2A	EGR1
BTRC	MYC
RAC1	RBMX
RBMX	STAT5A
BTRC	GHR
GHR	STAT5B
RAC1	FMNL1
FMNL1	FLI1
BTRC	EP300
RAC1	STAT3
STAT3	STAT1
GABRA1	PRKCD
PRKCD	SP1
PRKCD	YWHAG
YWHAG	YAP1
PRKCD	STAT3
STAT3	JUN
PRKCD	EP300
EP300	SMAD4
PRKCD	INSR
INSR	TEAD1
EP300	GOLGA2
EP300	E2F1
EP300	SMAD2
EP300	SMAD3
STAT3	NFKB1
STAT3	RELA
PRKCD	HSP90AA1
PRKCD	TP53
EP300	PPARG
EP300	ESR1
EP300	RARA
EP300	RXRA
PRKCD	APP
PPARG	RXRG
EP300	CREB1
STAT3	HIF1A
PRKCD	ELAVL1
ELAVL1	CEBPA
EP300	EGR1
APP	MYC
EP300	STAT5A
INSR	STAT5B
PRKCD	STAT1
