TUBB1	SNCA
SNCA	MAPK8
MAPK8	SP1
MAPK8	JUN
SNCA	OPI3
OPI3	RBL2
RBL2	TFDP2
SNCA	HSPA4
HSPA4	NFKB1
BCL2	BRCA1
BRCA1	SP1
BRCA1	JUN
BRCA1	RB1
RB1	TFDP2
BCL2	CHUK
CHUK	NFKB1
MAP2	PSMC5
PSMC5	SP1
MAP2	APP
APP	MAPK8
APP	MCM7
MCM7	RB1
APP	GSK3B
GSK3B	NFKB1
MAP4	SERBP1
SERBP1	TP53
TP53	SP1
SERBP1	PIAS1
PIAS1	JUN
MAP4	LSM3
LSM3	LSM1
LSM1	RBL2
SERBP1	RPS3
RPS3	NFKB1
MAPT	SYK
SYK	SP1
MAPT	ABL1
ABL1	JUN
MAPT	YWHAQ
YWHAQ	E2F1
E2F1	TFDP2
MAPT	GSK3B
NR1I2	RXRA
RXRA	SP1
NR1I2	NCOR2
NCOR2	JUN
NR1I2	NCOA3
NCOA3	E2F1
NCOA3	NFKB1
TFDP2	CCNE2
SP1	APEX1
JUN	GJA1
SP1	GJA1
JUN	MAT2A
NFKB1	MAT2A
SP1	MAT2A
