NR3C2	KRAS
KRAS	MAPK1
MAPK1	ETS1
AR	PRKACA
PRKACA	MAPK1
PGR	MAPK8
MAPK8	ELK1
ELK1	ETS1
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
SRD5A1	UGT2B11
UGT2B11	CYP2E1
SRD5A2	UGT2B11
SRD5A3	UGT2B11
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	INS
INS	MAPK1
CACNA1D	INS
CACNA1F	RASGRP3
CACNA1S	RASGRP3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
CACNA1A	PRKCA
CACNA1G	INS
CACNA1H	NOS1
NOS1	MAPK1
CACNA1I	NOS1
