ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	E2F4
SMAD2	SP1
MAPK1	MYC
PRKCA	RAF1
RAF1	NFKB1
NFKB1	MYB
PRKCA	HRAS
HRAS	JUN
SMAD2	YAP1
MAPK1	STAT1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	ESR1
RAF1	RELA
MAPK1	STAT3
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT4
MAPK1	SMAD3
PRKCA	CREB3
CREB3	CREBBP
CREBBP	RBPJL
CREBBP	RBPJ
PRKCA	CREB1
STAT3	STAT2
STAT3	STAT6
HRAS	MAPK14
MAPK14	MAX
PRKCA	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
PRKCA	FOS
MAPK1	ETS1
RB1	E2F2
RB1	E2F3
MAPK1	ETS2
CREB3	ATF1
PRKCA	MTOR
MTOR	HIF1A
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	ATF4
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
PRKCA	ATF2
NFKB1	NFKB2
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
PRKCA	PAX8
PRKCA	MAPK3
RB1	TFDP2
MAPK1	ELK1
ELK1	EGR1
PRKCA	MAP3K1
MAP3K1	CHUK
CHUK	RELB
JUP	MYC
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
GLI2	WNT6
GLI2	WNT7B
GLI2	WNT8B
GLI3	GLI1
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREBBP	TFRC
HIF1A	TIMP1
HIF1A	VEGFC
HIF1A	HKDC1
ARNT	EDN1
ARNT	NOS3
ARNT	NPPA
ARNT	PFKL
ARNT	PGF
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS5
STAT5B	SOCS4
STAT6	CCND2
STAT6	CCND3
PAX6	PDX1
HNF1A	FOXA3
CREB3	MITF
LEF1	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT3
PIK3R2	AKT1
RXRA	ACADL
RXRA	OLR1
RXRA	ACOX1
RXRA	ANGPTL4
RXRA	PDPK1
RXRB	APOC3
RXRB	ANGPTL4
NFKB1	CEBPB
NFKB1	IL23A
NFYA	HLA-DOB
NFYC	HLA-DMB
NFYC	HLA-DOA
NFYC	HLA-DQA2
MAPK3	NOS2
MAPK3	IL23A
MAPK8	IL18
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
RFXAP	CD74
MAPK12	IL1A
RFXANK	HLA-DMA
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
SP1	COL4A2
CREB1	ADRB2
GLI1	BCL2
ATF1	BCL2
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF1	CEACAM6
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
SP1	DKC1
SP3	DKC1
SP3	DNASE2
ETS1	DNTT
EGR1	EGFR
PPARG	GADD45A
RARA	GADD45A
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
CEBPB	HP
E2F4	HSP90B1
TFAP2A	HSPA1A
ESR1	HSPB1
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
RELA	MMP3
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
CREB1	TIMP1
