ADORA1	GNAI1
GNAI1	MAPK1
MAPK1	TP53
ADORA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
PDE4B	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
RYR1	PRKCA
PRKCA	MAPK1
PDE1A	ADCY1
PDE1B	ADCY1
PDE1C	ADCY1
PDE10A	ADCY1
PDE4A	ADCY1
PDE4C	ADCY1
PDE4D	ADCY1
PDE7B	ADCY1
PDE2A	ADCY1
PDE3A	ADCY1
PDE3B	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PDE5A	HPRT1
HPRT1	PDE3B
PDE6C	HPRT1
PDE11A	ADCY1
PDE7A	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PDE9A	HPRT1
PDE6A	HPRT1
PDE6B	HPRT1
PRKDC	TP53
PIK3CD	AKT3
AKT3	NFKB1
PIK3CA	AKT3
PIK3CB	AKT3
ITPR1	CAMK2A
CAMK2A	MAPK1
ITPR2	CAMK2A
ITPR3	CAMK2A
ATM	TP53
