ADRB1	ARRB2
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	MAPK1
MAPK1	CEBPB
ARRB2	FLNA
FLNA	REL
ARRB2	MAPK3
MAPK3	ELK4
ARRB2	CSNK2A1
CSNK2A1	SRF
ARRB2	HNRNPM
HNRNPM	TOP1
TOP1	ELK3
ARRB2	AKT1
AKT1	CREB1
MAPK1	ATF2
ARRB2	NFKBIA
NFKBIA	ATF4
ARRB2	STAT1
ARRB2	MCM3
MCM3	SAE1
SAE1	ETV4
ARRB2	MAP2K4
MAP2K4	JUN
JUN	CREB3
ARRB2	RPA1
RPA1	MOV10
MOV10	ATF6B
RPA1	ELAVL1
ELAVL1	CREB3L2
RPA1	PGRMC1
PGRMC1	CREB3L1
ARRB2	HNRNPA1
HNRNPA1	KRT15
KRT15	CREB5
ARRB2	CSK
CSK	CREBBP
CREBBP	ETS2
MAPK1	ELK1
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ARRB2	YWHAQ
YWHAQ	ESR2
ADRB2	STAT3
ADRB2	HNRNPK
HNRNPK	CEBPB
ADRB2	REL
STAT3	MAPK8
MAPK8	ELK4
ADRB2	PRKDC
PRKDC	SRF
ADRB2	VCP
VCP	TOP1
ADRB2	MAPK14
MAPK14	CREB1
MAPK14	ATF2
ADRB2	SHMT2
SHMT2	ATF4
STAT3	STAT1
ADRB2	GRB2
GRB2	HTT
HTT	ETV4
SHMT2	CREB3
GRB2	RBM33
RBM33	ATF6B
REL	CEP19
CEP19	CREB3L2
ADRB2	PGRMC1
ADRB2	RGS20
RGS20	CREB5
STAT3	EP300
EP300	ETS2
MAPK8	ELK1
ADRB2	SRC
SRC	ESR1
ADRB2	C1QBP
SRC	ESR2
CREB3	FOS
CREB1	FOS
ATF2	FOS
ATF6B	FOS
ATF4	FOS
CREB3L2	FOS
CREB3L1	FOS
CREB5	FOS
ELK1	FOS
ELK4	FOS
SRF	FOS
CEBPB	AFP
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
ETV4	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
