SLC22A6	APP
APP	MAPK8
MAPK8	JUN
APP	DDX54
DDX54	ESR1
APP	MYC
MYC	TFAP2A
APP	SYVN1
SYVN1	ATF6
MAPK8	TP53
APP	KAT5
KAT5	CREB1
MAPK8	ATF2
ATF2	ATF1
APP	MCM7
MCM7	HIF1A
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK8	SP1
PANX1	GNAS
GNAS	C1QBP
C1QBP	PRKD1
PRKD1	JUN
GNAS	GIPC1
GIPC1	MMS19
MMS19	ESR1
GIPC1	SH3BP4
SH3BP4	TFAP2A
GNAS	NUCB1
NUCB1	GTF2I
GTF2I	ATF6
GNAS	AXIN1
AXIN1	TP53
GNAS	RUVBL1
RUVBL1	CREBBP
CREBBP	CREB1
CREBBP	ATF1
GIPC1	MCM7
C1QBP	PRKCD
PRKCD	EP300
RUVBL1	ELAVL1
C1QBP	PRKCZ
PRKCZ	SP1
CREBBP	NOS3
EP300	NOS3
HIF1A	NOS3
ARNT	NOS3
JUN	CDK4
SP1	DKC1
ATF1	ERBB2
CREB1	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
TFAP2A	GPX4
SP1	GYPC
JUN	PDHA1
SP1	PDHA1
TFAP2A	PDHA1
ESR1	TFF1
JUN	TFF1
ATF6	XBP1
