PCCB	LYPLA1
LYPLA1	APRT
APRT	HECW2
HECW2	TFAP2A
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	JUN
LYPLA1	DPYSL2
DPYSL2	NUMB
NUMB	TP53
MAPK3	SP1
APRT	APP
APP	MYC
APP	MAPK7
MAPK7	ETS1
HECW2	ELAVL1
ELAVL1	NFIC
HLCS	SNX27
SNX27	NTRK1
NTRK1	RB1
RB1	TFAP2A
NTRK1	PML
PML	JUN
SNX27	INSR
INSR	SOCS1
SOCS1	TP53
INSR	PRKCD
PRKCD	SP1
PML	MYC
NTRK1	MAPK7
NTRK1	HSP90AA1
HSP90AA1	NFIC
MCCC2	HMGCL
HMGCL	ARL6IP1
ARL6IP1	FBXW7
FBXW7	MYC
MYC	TFAP2A
HMGCL	RNF126
RNF126	CDKN1A
CDKN1A	JUN
CDKN1A	TP53
HMGCL	HES1
HES1	STAT3
STAT3	SP1
ARL6IP1	SENP2
SENP2	DAXX
DAXX	ETS1
HES1	HSP90AA1
PC	KPNA4
KPNA4	TP53
TP53	TFAP2A
PC	RPS3A
RPS3A	DDIT3
DDIT3	JUN
TP53	SP1
KPNA4	APP
KPNA4	DAXX
RPS3A	HSP90AA1
PCCA	PCCB
ACACA	BRCA1
BRCA1	TFAP2A
BRCA1	JUN
BRCA1	TP53
BRCA1	SP1
BRCA1	MYC
BRCA1	ETS1
BRCA1	HSP90AA1
TP53	CDKN1A
MYC	CKS2
TP53	EPCAM
ETS1	CDKN1A
JUN	CDKN1A
SP1	CDKN1A
TFAP2A	CDKN1A
NFIC	HSPA1A
TFAP2A	HSPA1A
MYC	NRAS
JUN	NRAS
TFAP2A	NRAS
ETS1	SPP1
JUN	SPP1
SP1	SPP1
