NQO2	TP53
TP53	PML
PML	PPARG
PML	RXRA
TP53	NR3C1
NR3C1	RXRB
TP53	NR4A1
NR4A1	RXRG
TP53	EP300
EP300	NFKB1
TP53	UBE2I
UBE2I	PPARA
TP53	TFAP2A
CSNK2A1	PML
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
CSNK2A1	RELA
RELA	NFKB1
RELA	PPARA
CSNK2A1	BRCA1
BRCA1	TFAP2A
PTGS1	CAV1
CAV1	PPARG
CAV1	MAPK1
MAPK1	RXRA
PPARG	RXRG
PTGS1	PTGS2
PTGS2	EP300
PTGS1	PTGIS
PTGIS	HSP90AA1
HSP90AA1	PPARA
PPARG	TFAP2A
EP300	PPARG
EP300	RXRA
EP300	NR3C1
PTGS2	CUL1
CUL1	RXRG
EP300	RELA
EP300	TFAP2A
PPARA	ACSL1
PPARG	ACSL1
RXRA	ACSL1
RXRB	ACSL1
RXRG	ACSL1
TFAP2A	HSPA1A
NFKB1	IER3
