SLC22A6	APP
APP	MAPK8
MAPK8	SP1
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
MAPK8	JUN
APP	PHF8
PHF8	RARA
APP	RFX5
RFX5	PPARG
APP	HGS
HGS	ESRRG
ESRRG	MEOX2
MEOX2	PAX1
MAPK8	CEBPA
CEBPA	RARB
MAPK8	CCT3
CCT3	PDX1
PANX1	GNAS
GNAS	C1QBP
C1QBP	PRKCZ
PRKCZ	SP1
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
C1QBP	PRKD1
PRKD1	JUN
GNAS	RUVBL1
RUVBL1	RARA
C1QBP	PRKCA
PRKCA	PPARG
GNAS	HLA-A
HLA-A	MEOX2
C1QBP	CEBPA
GNAS	NUCB1
NUCB1	PRKDC
PRKDC	PDX1
SOS2	SPRY4
NFKB1	IL1B
NFKB1	PLAU
PIK3CG	PDPK1
RXRG	EHHADH
IRF7	IFNA8
USF1	APOC3
USF2	APOC3
JUN	CYP11A1
ATF2	IFNG
SP1	IL2
NFKB1	IL2RA
E2F4	MYC
