PCCB	LYPLA1
LYPLA1	DPYSL2
DPYSL2	NUMB
NUMB	TP53
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	CREBBP
DPYSL2	LEF1
LEF1	EP300
LYPLA1	APRT
APRT	APP
APP	MCM7
MCM7	HIF1A
APRT	HECW2
HECW2	ELAVL1
ELAVL1	ARNT
ASNS	YWHAE
YWHAE	FOXO3
ASNS	PPP1CA
PPP1CA	CREB1
ASNS	EPRS
EPRS	POU2F1
LEF1	STAT5A
APP	SHC1
SHC1	STAT5B
ASNS	NMD3
NMD3	STAT1
ASNS	ASS1
ASS1	TKT
TKT	STAT4
APP	GSK3B
GSK3B	NFKB1
APP	RFX5
RFX5	PPARG
HLCS	SNX27
SNX27	INSR
INSR	SOCS1
SOCS1	TP53
INSR	KHDRBS1
KHDRBS1	CREBBP
INSR	GRB2
GRB2	EP300
INSR	SHC1
SHC1	HIF1A
SNX27	NTRK1
NTRK1	PML
PML	ARNT
NTRK1	CTNNB1
CTNNB1	FOXO3
NTRK1	ABL1
ABL1	CREB1
NTRK1	LMNB1
LMNB1	POU2F1
INSR	STAT5A
INSR	STAT5B
NTRK1	STAT1
NTRK1	TRIM28
TRIM28	STAT4
INSR	SOCS3
SOCS3	NFKB1
STAT5A	PPARG
MCCC2	HMGCL
HMGCL	RNF126
RNF126	CDKN1A
CDKN1A	TP53
HMGCL	HES1
HES1	PARP1
PARP1	CREBBP
CDKN1A	EP300
HES1	STAT3
STAT3	HIF1A
HES1	HSP90AA1
HSP90AA1	ARNT
RNF126	SKP2
SKP2	FOXO3
HES1	SIRT1
SIRT1	CREB1
HMGCL	DNAJA1
DNAJA1	HSPA8
HSPA8	POU2F1
RNF126	EGFR
EGFR	STAT5A
EGFR	STAT5B
EGFR	STAT1
HMGCL	LSM12
LSM12	PBP1
PBP1	FHL1
FHL1	STAT4
STAT3	NFKB1
HMGCL	ARL6IP1
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	PPARG
PC	KPNA4
KPNA4	TP53
KPNA4	DAXX
DAXX	CREBBP
TP53	EP300
TP53	HIF1A
PC	RPS3A
RPS3A	HSP90AA1
KPNA4	APP
APP	MYC
MYC	FOXO3
DAXX	CREB1
PC	COPB1
COPB1	XRCC6
XRCC6	POU2F1
PC	FASN
FASN	PTPN11
PTPN11	STAT5A
COPB1	SERTAD1
SERTAD1	STAT5B
FASN	AHSA1
AHSA1	STAT1
TP53	TRIM28
KPNA4	CUL4B
CUL4B	NFKB1
XRCC6	PPARG
PCCA	PCCB
ACACA	BRCA1
BRCA1	TP53
BRCA1	CREBBP
BRCA1	EP300
BRCA1	HIF1A
BRCA1	ARNT
EP300	FOXO3
BRCA1	CREB1
BRCA1	POU2F1
BRCA1	STAT5A
BRCA1	JAK2
JAK2	STAT5B
BRCA1	STAT1
BRCA1	JUN
JUN	STAT4
EP300	NFKB1
EP300	PPARG
GLI3	WNT5A
RBPJ	FCER2
CTNNB1	CCND3
NFKB1	IL6
RELA	IL6
CREBBP	NOS3
CREBBP	PFKL
EP300	NOS3
EP300	PFKL
HIF1A	NOS3
TEAD1	GLI2
TEAD1	SNAI2
TEAD3	BIRC5
TEAD3	AXIN1
TP73	BBC3
TCF7L1	AXIN1
TEAD2	CTGF
TEAD2	MYC
MAPK1	CDK4
NFKB1	FIGF
MAX	CKS2
MYD88	IFNA13
SP1	CD14
EGR1	CD44
SP1	CD44
ESR2	CD68
SPI1	CD68
FLI1	FOS
STAT3	FOS
SP1	FOSL1
ATF2	IFNG
BCL3	MYB
PGR	MYC
POU2F1	MYC
ETS1	TFRC
