TUBB1	SNCA
SNCA	HSPA4
HSPA4	NFKB1
SNCA	MAPK8
MAPK8	JUN
MAPK8	SP1
SNCA	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
SNCA	CLTC
CLTC	EP300
EP300	EGR1
SNCA	HSPA8
HSPA8	RELA
HSPA8	POU2F1
EEF1A1	IKBKG
IKBKG	NFKB2
MAPK8	CEBPA
MAPK8	REL
SNCA	AKT1
AKT1	CREB1
SNCA	MAPK1
MAPK1	CEBPB
SNCA	PTK2
PTK2	STAT1
PTK2	TP53
PTK2	STAT3
MAPK8	PIAS2
PIAS2	STAT4
BCL2	CHUK
CHUK	NFKB1
BCL2	BRCA1
BRCA1	JUN
BRCA1	SP1
BCL2	HSP90AA1
BCL2	TP53
TP53	EGR1
BRCA1	RELA
BRCA1	POU2F1
CHUK	NFKB2
BCL2	MYC
MYC	CEBPA
BCL2	BID
BID	REL
BRCA1	CREB1
BRCA1	CEBPB
BRCA1	STAT1
BCL2	HIF1A
HIF1A	STAT3
JUN	STAT4
NR1I2	NCOA3
NCOA3	NFKB1
NR1I2	NCOR2
NCOR2	JUN
NR1I2	RXRA
RXRA	SP1
NCOA3	RFX1
RFX1	NFIC
NR1I2	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
NCOR2	RELA
NCOR2	POU2F1
SP1	NFKB2
NCOA3	CEBPA
ACTN2	ACTN3
ACTN3	REL
NR1I2	NCOR1
NCOR1	CREB1
NCOR2	CEBPB
RXRA	STAT1
NR1I2	PSMC5
PSMC5	TP53
NR1I2	NCOA1
NCOA1	STAT3
MAP4	SERBP1
SERBP1	RPS3
RPS3	NFKB1
SERBP1	PIAS1
PIAS1	JUN
SERBP1	TP53
TP53	SP1
MAP4	LSM3
LSM3	LSM1
LSM1	HSP90AA1
LSM3	SNRPD3
SNRPD3	RELA
LSM3	EEF1A1
EEF1A1	HSPA8
MAP4	FLNB
FLNB	VCP
VCP	NFKB2
LSM3	LSM5
LSM5	UBE3A
UBE3A	CEBPA
FLNB	FLNA
FLNA	REL
SERBP1	DAXX
DAXX	CREB1
DAXX	CEBPB
LSM3	RTF1
RTF1	STAT1
MAP4	LSM8
LSM8	GTF2I
GTF2I	STAT3
LSM3	SNRPD1
SNRPD1	TRIM28
TRIM28	STAT4
MAP2	APP
APP	GSK3B
GSK3B	NFKB1
APP	MAPK8
MAP2	PSMC5
PSMC5	SP1
MAP2	FYN
FYN	HSP90AA1
PSMC5	PSMA3
PSMA3	EGR1
MAP2	DHX9
DHX9	RELA
APP	HSPA8
APP	KAT5
KAT5	CREB1
GSK3B	CEBPB
APP	HDAC4
HDAC4	STAT1
MAPK8	STAT3
MAPT	GSK3B
MAPT	ABL1
ABL1	JUN
MAPT	SYK
SYK	SP1
MAPT	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
MAPT	YWHAZ
YWHAZ	TP53
MAPT	HSPA8
YWHAZ	TNFAIP3
TNFAIP3	NFKB2
YWHAZ	NFATC4
NFATC4	CEBPA
MAPT	PARK2
PARK2	REL
ABL1	CREB1
YWHAZ	HDAC4
MAPT	SIRT1
SIRT1	STAT3
YWHAQ	TRIM28
STAT3	CPT1C
STAT5A	CCND3
RBPJL	HES1
RBPJ	HES5
TP53	RCHY1
TP53	SERPINB5
TP53	PIDD
TP53	BAX
RXRG	EHHADH
IRF7	IFNA8
STAT1	CXCL9
NFYA	HLA-DOB
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
ATF4	ASNS
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
CREB1	CCND1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CD14
SP2	CD14
SP3	CD14
EGR1	CD44
SP1	CD44
TFAP2A	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFKB1	ICAM1
STAT4	IFNG
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
JUN	NPPA
