HTR2A	CBL
CBL	SMAD3
SMAD3	YAP1
CBL	CTNNB1
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CTNNB1	SP1
CTNNB1	SOX2
SOX2	TEAD1
CBL	GRB2
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
SMAD3	CEBPA
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
GRB2	EP300
EP300	EGR1
CBL	ABL1
ABL1	TP73
SMAD3	CEBPB
SMAD3	JUN
CTNNB1	CREBBP
ABL1	CREB1
CTNNB1	FOXO3
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	YAP1
DRD2	FLNA
FLNA	LMNA
LMNA	CTNNB1
FLNA	REL
REL	ATXN1
ATXN1	DAZAP2
DRD2	CALM1
CALM1	AR
AR	TCF7L2
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	NCOA1
NCOA1	TEAD1
FLNA	BSG
BSG	VPS52
VPS52	TEAD4
CDKN2A	E2F1
E2F1	TEAD3
LMNA	KAT5
KAT5	CEBPA
REL	NFKB1
REL	RELA
CDKN2A	EGR1
DRD2	PAWR
PAWR	FBXO45
FBXO45	TP73
CALM1	ESR1
ESR1	CEBPB
FLNA	RBM39
RBM39	JUN
REL	CREBBP
REL	EP300
PPP1CA	CREB1
CALM1	AKT1
AKT1	FOXO3
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
GRIA2	RAB11A
RAB11A	YWHAG
YWHAG	YAP1
GRIA2	GRIP1
GRIP1	CTNNB1
GRIA2	SDCBP
SDCBP	SIAH1
SIAH1	DAB1
DAB1	DAZAP2
SDCBP	MID2
MID2	UBTD1
UBTD1	TEAD1
SDCBP	MBD3
MBD3	TRIM27
YAP1	TEAD3
GRIP1	VDR
VDR	CEBPA
GRIP1	HDAC1
HDAC1	NFKB1
GRIP1	CREBBP
CREBBP	RELA
CREBBP	EGR1
SDCBP	TRIM32
TRIM32	TP73
SDCBP	SMARCA2
SMARCA2	CEBPB
MBD3	JUN
SDCBP	ZBTB8A
ZBTB8A	EP300
CREBBP	CREB1
TRIM32	RXRA
GRIP1	PPARG
GRIA3	SDCBP
SDCBP	DMC1
DMC1	RAD51
RAD51	YAP1
GRIA3	GRIP1
PPARG	PHB2
PHB2	TEAD3
TCF7L1	CCND1
ESR1	CALB1
EGR2	FASLG
CREBBP	ALDOA
HIF1A	TEK
ARNT	ENO2
ARNT	SLC2A1
ARNT	VEGFB
YAP1	CTGF
YAP1	ITGB2
YAP1	CCND2
WWTR1	AREGB
SMAD2	CTGF
SMAD3	CTGF
STAT5A	SOCS1
STAT6	PIM1
NFKB1	VEGFA
NFKB2	BCL2L1
CREB3L2	MCL1
PPARA	CPT2
PPARD	ACOX1
PPARG	CPT1A
RXRA	FABP4
RXRG	EHHADH
IRF7	IFNA8
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
MAPK1	IL1B
MAPK1	IL6
MAPK1	IL12A
MAPK1	IL12B
RFX5	HLA-DRB3
RFX5	HLA-DRB4
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
JUN	F3
SP1	GH2
POU2F1	IL2
