HTR2A	CBL
CBL	CTNNB1
CTNNB1	ESR1
CBL	SMAD3
SMAD3	JUN
CBL	ABL1
ABL1	CREB1
ADRA2A	GNB1
GNB1	PAK1
PAK1	ESR1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2A	UCHL1
UCHL1	TP53
TP53	CREB1
HTR2C	CALM1
CALM1	ESR1
HTR2C	DLG4
DLG4	MDM2
MDM2	JUN
CALM1	AKT1
AKT1	CREB1
OPRK1	SIAH1
SIAH1	CTNNB1
SIAH1	STAT3
STAT3	JUN
OPRK1	SIAH2
SIAH2	KAT5
KAT5	CREB1
ADRA2C	UCHL1
UCHL1	CTNNB1
UCHL1	UBE2I
UBE2I	JUN
HTR7	CUL3
CUL3	CTNNB1
CUL3	ATF2
ATF2	JUN
ATF2	CREB1
ADRA1B	AP2M1
AP2M1	HSPA8
HSPA8	ESR1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CLTC
CLTC	EP300
EP300	CREB1
ADRA1D	DTNA
DTNA	ACTB
ACTB	ESR1
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
DRD2	CALM1
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD3	GIPC1
GIPC1	MMS19
MMS19	ESR1
DRD3	EPB41L1
EPB41L1	COPS5
COPS5	JUN
GIPC1	MCM7
MCM7	FHL2
FHL2	CREB1
SLC6A2	ACTB
SLC6A2	SNCA
SNCA	MAPK8
MAPK8	JUN
SNCA	AKT1
SLC6A4	SNCA
AKT1	ESR1
SLC6A3	TGFB1I1
TGFB1I1	SMAD3
SMAD3	ESR1
TGFB1I1	NR3C1
NR3C1	CREB1
HTR2B	AGTR1
AGTR1	ZBTB16
ZBTB16	ESR1
AGTR1	MAPK1
MAPK1	JUN
AGTR1	ARRB2
ARRB2	AKT1
DRD1	RANBP9
RANBP9	ESR1
RANBP9	NR3C1
NR3C1	JUN
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	ESR1
DRD5	GNA13
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
GNA13	MAP3K5
MAP3K5	EP300
ADRB1	ARRB2
ARRB2	IGF1R
IGF1R	ESR1
ARRB2	MAP2K4
MAP2K4	JUN
ADRB2	SRC
SRC	ESR1
ADRB2	STAT3
ADRB2	MAPK14
MAPK14	CREB1
CREB1	ARC
ESR1	TFF1
JUN	TFF1
