PDE4A	SQSTM1
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
SQSTM1	NTRK1
NTRK1	STAT3
SQSTM1	STAT5A
NTRK1	STAT5B
PDE4B	MAGEA11
MAGEA11	EP300
EP300	NFKB1
EP300	RELA
EP300	STAT3
EP300	STAT5A
MAGEA11	NR3C1
NR3C1	STAT5B
PDE4D	APP
APP	GSK3B
GSK3B	NFKB1
PDE4D	MDM2
MDM2	RELA
APP	MAPK8
MAPK8	STAT3
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
PDE4C	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	EP300
STAT3	EGFR
EGFR	STAT5B
PGD	SUMO3
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
PGD	GNAI3
GNAI3	GNB2
GNB2	STAT3
PGD	RPS6KA1
RPS6KA1	ESR1
ESR1	STAT5A
PGD	P4HB
P4HB	CALU
CALU	EGFR
JUN	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
PGR	MYC
