SCN5A	NEDD4
NEDD4	CUL5
CUL5	NFKB1
NEDD4	NTRK1
NTRK1	RELA
NEDD4	SRC
SRC	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
NEDD4	SMAD3
SMAD3	HIF1A
KCNK1	TCIRG1
TCIRG1	TERF1
TERF1	EP300
EP300	NFKB1
EP300	RELA
EP300	RXRA
EP300	NR3C1
NR3C1	RXRB
EP300	PPARG
EP300	HIF1A
KCNH2	YWHAE
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSPA8
HSPA8	RELA
RELA	RXRA
HSPA8	FLYWCH2
FLYWCH2	RXRB
KCNH2	HSP90AA1
HSP90AA1	PPARA
PPARA	RXRG
HSP90AA1	HIF1A
CREB3L4	PDYN
CREB3L2	PDYN
EP300	ENO2
NFKB2	TRAF5
PPARA	DBI
PPARG	ACSL1
RXRG	FABP4
IRF7	IFNA10
NFATC3	PTGS2
ATF4	PTGS2
RARB	PTGS2
