DRD1	RANBP9
RANBP9	ESR1
ESR1	STAT3
ESR1	CEBPB
RANBP9	APP
APP	MAPK8
MAPK8	REL
ESR1	SMAD2
SMAD2	ETV4
RANBP9	UBE2I
UBE2I	RXRA
RANBP9	NR3C1
NR3C1	RXRB
RANBP9	THRB
THRB	RXRG
APP	HSPA8
HSPA8	ERG
NR3C1	CREB1
ESR1	EP300
EP300	EGR1
ESR1	RELA
NR3C1	JUN
ESR1	SP3
ESR1	TP53
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	STAT3
DRD5	GNA13
GNA13	PTK2B
PTK2B	EGFR
EGFR	CEBPB
PTK2B	GRB2
GRB2	REL
HSP90AA1	STK11
STK11	ETV4
PTK2B	SRC
SRC	RXRA
GNA13	PRKAR2A
PRKAR2A	AKAP13
AKAP13	RXRB
HSP90AA1	PPARA
PPARA	RXRG
GNA13	MAP3K5
MAP3K5	HSPA4
HSPA4	ERG
MAP3K5	EP300
EP300	CREB1
EP300	RELA
PTK2B	VAV1
VAV1	JUN
EP300	SP3
HSP90AA1	TP53
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
DRD2	CALM1
CALM1	ESR1
DRD2	FLNA
FLNA	REL
REL	ATXN1
ATXN1	ETV4
FLNA	LMNA
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
CALM1	HSPA4
DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
PPP1R9B	CDKN2A
CDKN2A	EGR1
REL	RELA
FLNA	RBM39
RBM39	JUN
RANBP2	TP53
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	SMAD3
SMAD3	CEBPB
GNAI2	NUCB1
NUCB1	REL
ITCH	HTT
HTT	ETV4
ADRA2A	UCHL1
UCHL1	UBE2I
GNAI2	MDFI
MDFI	NR1H2
NR1H2	RXRB
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
UCHL1	HSPA8
UCHL1	TP53
TP53	CREB1
TP53	EGR1
GNAI2	NPM1
NPM1	RELA
ITCH	JUN
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	SP3
HTR2A	CBL
CBL	EGFR
EGFR	STAT3
CBL	SMAD3
CBL	GRB2
GRB2	HTT
CBL	SRC
CBL	CTNNB1
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
CBL	HSPA8
CBL	ABL1
ABL1	CREB1
GRB2	EP300
HSPA8	RELA
SMAD3	JUN
CBL	YWHAZ
YWHAZ	TP53
RBPJL	FCER2
PAX6	INS
PIK3CD	AKT3
IRF1	IL12B
CREB3L3	BCL2
PPARA	APOC3
PPARD	UBC
PPARG	ANGPTL4
RXRA	ACSL1
RXRB	ACAA1
RXRB	OLR1
MAPK3	IL12B
MAPK3	IL18
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
RELA	IL2
NFKB1	LTA
JUN	MAT2A
SP1	MAT2A
SP3	MAT2B
CEBPE	MYC
ESR1	MYC
