CHRM1	GPRASP2
GPRASP2	AGO2
AGO2	HSP90AA1
HSP90AA1	PPARA
GPRASP2	TXN
TXN	NFKB1
GPRASP2	AGO1
AGO1	RELA
TXN	TP53
TXN	NR3C1
NR3C1	NFKB2
GPRASP2	TRIM32
TRIM32	RXRA
NR3C1	RXRB
TRIM32	RARA
RARA	RXRG
CHRM2	SET
SET	APP
APP	AKAP13
AKAP13	PPARA
SET	NR3C1
NR3C1	NFKB1
SET	CCNB1
CCNB1	RELA
SET	TP53
CHRM2	Set
Set	Cdk4
Cdk4	CTCF
CTCF	RXRA
NR3C1	NCOR2
NCOR2	RXRG
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
CHRM3	SET
APP	GSK3B
GSK3B	RXRA
PAX6	GCK
RBPJ	HES5
BBC3	TP53AIP1
TP53	SERPINB5
TP53	STEAP3
TP53	BAX
TP53	RRM2
FOS	FIGF
FOS	MMP1
ATF4	MCL1
RELA	MYB
PPARD	FABP3
PPARD	LPL
RXRA	CYP8B1
RXRA	EHHADH
