CACNA1C	COPS5
COPS5	UBC
UBC	ATF6
COPS5	NFKB1
COPS5	ESR1
ESR1	RELA
COPS5	TP53
TP53	CREB1
CACNA1S	SRI
SRI	SOD1
SOD1	UBC
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
SRI	ANXA7
ANXA7	TP53
STAT3	EP300
EP300	CREB1
CACNB1	APP
APP	SYVN1
SYVN1	ATF6
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	TP53
APP	KAT5
KAT5	CREB1
CACNB3	CACNA1C
CACNB4	CBX3
CBX3	XRCC6
XRCC6	YY1
YY1	ATF6
CBX3	RELB
RELB	NFKB1
CBX3	FAF1
FAF1	RELA
XRCC6	TP53
CBX3	DNMT3B
DNMT3B	CREB1
NR3C2	NR3C1
NR3C1	CREB1
CREB1	ATF6
NR3C1	NFKB1
NR3C1	RELA
NR3C2	SUMO1
SUMO1	TP53
AHR	EP300
EP300	YY1
EP300	NFKB1
AHR	RELA
EP300	TP53
CREB3L4	PDYN
CREB3L2	PDYN
TCF7L2	MITF
MYD88	IFNA10
MAPK3	IL6
POU2F2	MYC
ATF4	PTGS2
RARB	PTGS2
