GABRA1	PRKCD
PRKCD	STAT3
STAT3	JUN
PRKCD	SP1
PRKCD	EP300
EP300	TP63
TP63	ETV4
PRKCD	HSPA4
HSPA4	ERG
PRKCD	TP53
STAT3	PML
PML	E2F4
EP300	CREB1
EP300	ATF4
EP300	ETS1
STAT3	COPS5
COPS5	CREB3
EP300	ATF2
TP53	NFYA
NFYA	ATF6B
PRKCD	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
EP300	BRCA1
BRCA1	CREB5
PRKCD	STAT1
PRKCD	APP
APP	MYC
STAT3	NFKB1
STAT3	RELA
EP300	TFAP2A
STAT3	HIF1A
EP300	E2F1
EP300	USF2
EP300	FOS
STAT3	NCOA1
NCOA1	RARB
EP300	IRF3
EP300	CREBBP
EP300	ARNT
PRKCD	YWHAG
YWHAG	YAP1
EP300	ESR1
EP300	RARA
PRKCD	HSP90AA1
HSP90AA1	PPARA
STAT3	SMAD1
SMAD1	LEF1
ELAVL1	DAZAP2
DAZAP2	TCF7
ELAVL1	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
PRKCD	INSR
INSR	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
E2F1	TEAD3
EP300	MYB
NCOA1	RARG
EP300	RXRA
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
HSP90AA1	NR3C2
YWHAG	WWTR1
EP300	SMAD3
PML	SPI1
ELAVL1	CEBPA
EP300	EPAS1
INSR	IRF7
STAT3	IL1RAP
IL1RAP	MYD88
EP300	SP3
HSP90AA1	NFIC
HSP90AA1	PPARD
STAT3	HDAC1
HDAC1	CREM
SP1	POU2F1
APP	HMGA1
HMGA1	POU2F2
PRKCD	FLI1
EP300	EGR1
STAT3	MAPK8
TP53	MAPK9
TP53	MAPK10
EP300	ARNTL
EP300	NPAS2
EP300	CLOCK
EP300	REL
EP300	ETS2
BRCA1	ATF1
EP300	SMAD4
EP300	STAT5A
INSR	STAT5B
STAT3	TRIM28
TRIM28	STAT4
STAT3	MAPK1
PRKCD	SNCA
SNCA	MAPK3
EP300	MAPK14
PML	MAPK11
PRKCD	VCP
VCP	MAPK13
PRKCD	VHL
VHL	GLI1
HDAC1	GLI2
PRKCD	GSK3A
GSK3A	GLI3
EP300	STAT2
STAT3	STAT6
HSP90AA1	CEBPE
STAT3	PGR
EP300	MYBL2
STAT3	NFKB2
EP300	SMAD2
SP1	HNF4A
PRKCD	TNFRSF1A
TNFRSF1A	SOS1
STAT3	EGFR
EGFR	SOS2
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	PIN1
PIN1	JUN
ZCCHC10	TP53
TP53	SP1
SDCBP2	PRPF40A
PRPF40A	HTT
HTT	ETV4
SDCBP2	SEC23A
SEC23A	HSPA4
SDCBP2	BEND7
BEND7	C1QBP
C1QBP	CEBPA
CEBPA	E2F4
TP53	CREB1
SDCBP2	TIFA
TIFA	IRAK1
IRAK1	BTRC
BTRC	ATF4
TP53	ETS1
IRAK1	EMD
EMD	CREB3
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	ATF2
BEND7	TRIM27
TRIM27	NFYC
NFYC	ATF6B
PRPF40A	HNRNPK
HNRNPK	ELAVL1
PRPF40A	UBQLN4
UBQLN4	RUNX1T1
RUNX1T1	CREB3L1
TIFA	TRAF6
TRAF6	TRAF2
TRAF2	CREB5
IRAK1	STAT1
SDCBP2	C1orf35
C1orf35	APP
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
TP53	RELA
TP53	TFAP2A
TP53	BRCA1
TRAF6	HIF1A
ZNF581	KDM1A
KDM1A	E2F1
TP53	EP300
PRPF40A	UBE2I
UBE2I	FOS
CEBPA	RARB
TRAF6	STAT3
PIN1	IRF3
TP53	CREBBP
HIF1A	ARNT
PIN1	YAP1
TP53	ESR1
PIN1	RARA
UBE2I	PPARA
TRIM27	PIAS4
PIAS4	LEF1
UBQLN4	DAZAP2
UBE2I	TCF7L2
ZNF581	SUV39H1
SUV39H1	CTNNB1
TRIM27	TEAD4
TEAD4	TEAD1
C1QBP	PHB2
PHB2	TEAD3
TRAF6	MYB
SDCBP2	PRR13
PRR13	LNX1
LNX1	ACY3
ACY3	RARG
UBE2I	RXRA
IRAK1	CUL1
CUL1	RXRG
IRAK1	HSP90AA1
HIF1A	WWTR1
PIN1	PPARG
TP53	SMAD3
PRPF40A	NONO
NONO	SPI1
PRPF40A	TERF2IP
TERF2IP	EPAS1
TRAF6	IRF7
TRAF6	MYD88
PRPF40A	SFPQ
SFPQ	SP3
TRAF6	SMURF1
SMURF1	NFIC
TRIM27	HDAC1
PRPF40A	XRCC6
XRCC6	POU2F1
XRCC6	POU2F2
PRPF40A	PIAS1
PIAS1	FLI1
TP53	EGR1
HSP90AA1	ARNTL
SDCBP2	PRPF38A
PRPF38A	CSNK2B
CSNK2B	NPAS2
CSNK2B	CLOCK
HSPA4	REL
TP53	ETS2
PRPF40A	CSNK2A2
CSNK2A2	ATF1
ZCCHC10	SNIP1
SNIP1	SMAD4
CSNK2B	STAT5A
TRAF6	NTRK1
NTRK1	STAT5B
TRIM27	PIAS2
PIAS2	STAT4
TP53	MAPK1
TP53	MAPK3
TP53	MAPK14
IRAK1	BAG3
BAG3	MAPK11
TRAF6	VCP
TRAF6	ITCH
ITCH	GLI1
TRAF6	KRAS
KRAS	GLI3
STAT1	STAT2
ZCCHC10	EEF1A1
EEF1A1	STAT6
PIAS1	CEBPE
ZCCHC10	RBM39
RBM39	PGR
APP	ZNF622
ZNF622	MYBL2
TP53	SMAD2
UBE2I	HNF4A
NTRK1	SOS1
NTRK1	SOS2
GABRA4	APP
APP	MAPK8
MAPK8	JUN
MAPK8	SP1
APP	HSPA8
HSPA8	HTT
HSPA8	ERG
MAPK8	TP53
APP	EEF1D
EEF1D	HCFC1
HCFC1	E2F4
APP	KAT5
KAT5	CREB1
APP	PSEN2
PSEN2	APH1A
APH1A	ATF4
APP	MAPK7
MAPK7	ETS1
HCFC1	CREB3
APP	CUL3
CUL3	NXF1
NXF1	ATF6B
PSEN2	ELAVL1
CUL3	PGRMC1
PGRMC1	CREB3L1
MAPK8	TRAF2
APP	HDAC4
HDAC4	STAT1
APP	GSK3B
GSK3B	NFKB1
EEF1D	RELA
MYC	TFAP2A
KAT5	BRCA1
APP	MCM7
MCM7	HIF1A
KAT5	E2F1
RELA	USF2
MAPK7	FOS
MAPK8	CEBPA
MAPK8	STAT3
MAPK8	IRF3
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
ELAVL1	ARNT
APP	TAF6
TAF6	YAP1
APP	DDX54
DDX54	ESR1
APP	PHF8
PHF8	RARA
AKAP13	PPARA
APP	HGS
HGS	DAZAP2
DAZAP2	LEF1
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
HGS	INSR
MCM7	TRIM27
KAT5	MYB
MAPK8	NCOA3
NCOA3	RARG
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	C9orf41
C9orf41	NR3C2
APP	YWHAG
APP	RFX5
RFX5	PPARG
GSK3B	SMAD3
MAPK8	SPI1
MCM7	EPAS1
PSEN2	TRAF6
APP	TIRAP
TIRAP	MYD88
RELA	SP3
ELAVL1	NFIC
MAPK8	CTNNB1
CTNNB1	PPARD
PSEN2	KCNIP3
KCNIP3	CREM
HSPA8	POU2F1
APP	ELK1
ELK1	FLI1
RELA	EGR1
MAPK8	MAPK9
APP	MAPK8IP2
MAPK8IP2	MAPK10
APP	WDR5
WDR5	ARNTL
APP	CSNK1E
CSNK1E	CLOCK
MAPK8	REL
DDX54	NR3C1
NR3C1	ETS2
ATF2	ATF1
APP	CSNK1D
CSNK1D	SMAD4
APP	SHC1
SHC1	STAT5A
SHC1	STAT5B
MAPK8	PIAS2
APP	SNCA
SNCA	MAPK1
APP	PAK6
PAK6	MAPK14
SHC1	MAPKAPK2
MAPKAPK2	MAPK11
MAPK8IP2	MAPK13
MYC	GLI1
APP	APBB1
APBB1	HDAC1
HDAC1	GLI3
ELAVL1	STAT2
HGS	AHCYL1
AHCYL1	STAT6
CEBPA	CEBPE
DDX54	PGR
HGS	TSG101
TSG101	NFKB2
CSNK1D	SMAD2
HDAC4	HNF4A
SHC1	SOS1
SHC1	SOS2
GABRB1	NOD1
NOD1	CASP9
CASP9	JUN
NOD1	HSP90AA1
HSP90AA1	SP1
NOD1	UBC
UBC	UBA2
UBA2	ETV4
UBC	DNAJA1
DNAJA1	ERG
NOD1	RNF34
RNF34	TP53
UBC	BRCA1
BRCA1	E2F4
UBC	BTRC
UBC	EMD
UBC	CUL3
CUL3	ATF2
UBC	ATF6
ATF6	ATF6B
UBC	PSMB5
PSMB5	RND1
RND1	CREB3L2
UBC	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
RNF34	TRIM23
TRIM23	CREB5
BRCA1	STAT1
HSP90AA1	MYC
NOD1	COPS6
COPS6	NFKB1
NOD1	PSMA7
PSMA7	HIF1A
UBC	E2F1
BRCA1	USF2
UBC	ABL1
ABL1	FOS
NOD1	CASP8
CASP8	CEBPB
CEBPB	RARB
HSP90AA1	STAT3
HSP90AA1	IRF3
HSP90AA1	ARNT
ABL1	YAP1
HSP90AA1	ESR1
E2F1	RARA
UBC	DAZAP2
UBC	PSMA3
PSMA3	TCF7L2
TP53	NCOA1
NCOA1	TEAD1
UBC	TRIM27
UBC	SUMO1
SUMO1	MYB
UBC	TNIP1
TNIP1	RARG
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
NR3C1	RXRB
UBC	CUL1
BTRC	WWTR1
UBC	SFPQ
SFPQ	PPARG
NOD1	CFLAR
CFLAR	SMAD3
UBC	ARF1
ARF1	SPI1
UBC	C1QBP
HSP90AA1	EPAS1
TP53	IRF7
UBC	HDAC6
HDAC6	MYD88
E2F1	SP3
CREBBP	CREM
BRCA1	POU2F1
CFLAR	XRCC6
BRCA1	FLI1
RNF34	APP
HSP90AA1	NPAS2
UBC	PPP1CB
PPP1CB	CLOCK
UBC	FHL2
FHL2	REL
FHL2	SMAD4
BRCA1	STAT5A
UBC	HAX1
HAX1	STAT5B
UBC	TRIM28
CASP8	MAPK1
HSP90AA1	PKN1
PKN1	MAPK11
UBC	VCP
CFLAR	ITCH
TP53	HDAC1
HSP90AA1	FBXW11
FBXW11	GLI3
HSP90AA1	STAT2
TP53	STAT6
BRCA1	PGR
E2F1	MYBL2
UBC	TSG101
UBC	NCOA6
NCOA6	HNF4A
UBC	CBL
CBL	SOS1
UBC	BIN1
BIN1	SOS2
GABRB2	TRAK2
TRAK2	GSK3B
GSK3B	JUN
TRAK2	PRKAB2
PRKAB2	CRX
CRX	SP1
TRAK2	PRKAG1
PRKAG1	FKBP4
FKBP4	SAE1
SAE1	ETV4
GSK3B	HSPA4
GSK3B	TP53
SMAD3	E2F4
GSK3B	CREB1
GSK3B	RELA
RELA	ATF4
PRKAB2	CREB3L1
CREB3L1	CREB3
SMAD3	ATF2
PRKAB2	TP53BP2
TP53BP2	NXF1
PRKAB2	REL
REL	CEP19
CEP19	CREB3L2
PRKAB2	TRAF2
PRKAB2	GNB2L1
GNB2L1	STAT1
GSK3B	MYC
TRAK2	PLK1
PLK1	BRCA1
GNB2L1	HIF1A
GSK3B	AR
AR	E2F1
GSK3B	BCL3
BCL3	FOS
PRKAB2	MEOX2
MEOX2	RARB
BCL3	STAT3
GSK3B	EWSR1
EWSR1	IRF3
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	PIAS2
PIAS2	ARNT
PRKAG1	SIP2
SIP2	YAP1
PIAS2	ESR1
GSK3B	MAPK1
MAPK1	RARA
RELA	PPARA
GSK3B	CTNNB1
CTNNB1	LEF1
GSK3B	SMURF2
SMURF2	DAZAP2
CTNNB1	TCF7L2
YAP1	TEAD1
PRKAB2	GOLGA2
YAP1	TEAD3
GSK3B	CHD3
CHD3	MYB
GSK3B	NCOA3
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
GSK3B	HSP90AA1
GSK3B	PPP1CA
PPP1CA	WWTR1
CTNNB1	PPARG
PRKAB2	GATA1
GATA1	SPI1
PRKAB2	YY1AP1
YY1AP1	CEBPA
SMAD3	EPAS1
SMAD3	IRF7
GSK3B	MDM2
MDM2	MYD88
CRX	SP3
CREB1	CREM
PRKAB2	PRKDC
PRKDC	POU2F1
GATA1	FLI1
PRKDC	MAPK9
RXRA	ARNTL
PRKAB2	CSNK2B
TRAK2	OGT
OGT	CSNK2A1
CSNK2A1	ATF1
PIAS2	SMAD4
GSK3B	PTPN11
PTPN11	STAT5B
GSK3B	SNCA
CSNK2B	MAPK14
KLC1	KRT31
KRT31	PKN1
PRKAA1	VCP
REL	HDAC1
TRAK2	GSK3A
GSK3B	EEF1A1
GATA1	CEBPE
PIAS2	PGR
GSK3B	CCNE1
CCNE1	MYBL2
REL	NFKB2
SMAD3	SMAD2
PRKAB2	TADA2A
TADA2A	HNF4A
PTPN11	SOS1
PRKAA1	ABI2
ABI2	SOS2
GABRB3	MEOX2
MEOX2	RELA
RELA	JUN
RELA	SP1
MEOX2	TGFB1
