HTR2A	CBL
CBL	SMAD3
SMAD3	JUN
CBL	CTNNB1
CTNNB1	SP1
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
HTR1B	MDFI
MDFI	PIN1
PIN1	JUN
MDFI	VHL
VHL	SP1
HTR1D	HTR1B
HTR1E	MEOX2
MEOX2	RELA
RELA	JUN
HTR1E	PSMC4
PSMC4	PSMC5
PSMC5	SP1
HTR2C	DLG4
DLG4	MDM2
MDM2	JUN
HTR2C	CALM1
CALM1	ESR1
ESR1	SP1
HTR6	COPS5
COPS5	JUN
HTR6	CLTC
CLTC	EP300
EP300	SP1
HTR7	CUL3
CUL3	ATF2
ATF2	JUN
CUL3	CTNNB1
DRD1	RANBP9
RANBP9	NR3C1
NR3C1	JUN
RANBP9	ESR1
DRD5	GNA13
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	SP1
DRD3	EPB41L1
EPB41L1	COPS5
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
DRD4	ARRB2
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	MAPK1
MAPK1	SP1
ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	SFPQ
SFPQ	SP1
ADRA1D	GOPC
GOPC	RELA
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
ADRA2A	UCHL1
UCHL1	CTNNB1
ADRA2B	UCHL1
UCHL1	UBE2I
UBE2I	JUN
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	AP1G1
GPRASP2	TXN
TXN	NFKB1
NFKB1	SP1
CHRM2	SET
SET	NR3C1
SET	TP53
TP53	SP1
CHRM3	SET
USF1	APOC3
USF2	APOC3
JUN	F3
