PCCB	LYPLA1
LYPLA1	ASNS
ASNS	MAPK3
MAPK3	JUN
MAPK3	SP1
LYPLA1	APRT
APRT	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
LYPLA1	DPYSL2
DPYSL2	ARFIP1
ARFIP1	STAT3
STAT3	NFKB2
APP	MAPK8
MAPK8	SPI1
ASNS	PPP1CA
PPP1CA	CREB1
ASNS	NMD3
NMD3	STAT1
MAPK8	IRF3
MAPK8	CEBPA
APP	ELK1
MAPK8	REL
DPYSL2	LEF1
LEF1	SMAD2
SMAD2	ETV4
MAPK3	RXRA
APP	AKAP13
AKAP13	RXRB
DPYSL2	CRMP1
CRMP1	CUL1
CUL1	RXRG
AKAP13	PPARA
APP	SHC1
SHC1	SOS1
SHC1	SOS2
MAPK3	CREM
MAPK3	ELK4
APP	KAT5
KAT5	SRF
APP	CUL3
CUL3	TOP1
TOP1	ELK3
HLCS	SNX27
SNX27	NTRK1
NTRK1	PML
PML	JUN
SNX27	INSR
INSR	PRKCD
PRKCD	SP1
INSR	SOCS3
SOCS3	NFKB1
NTRK1	RELA
NTRK1	STAT3
PML	SPI1
NTRK1	ABL1
ABL1	CREB1
NTRK1	STAT1
INSR	SOCS1
SOCS1	IRF3
NTRK1	C1QBP
C1QBP	CEBPA
NTRK1	MAPK1
MAPK1	ELK1
INSR	GRB2
GRB2	REL
NTRK1	UBA2
UBA2	ETV4
PML	RXRA
INSR	STAT5A
STAT5A	PPARG
PPARG	RXRB
NTRK1	CUL1
RELA	PPARA
NTRK1	SOS1
NTRK1	SOS2
INSR	ARRB2
ARRB2	MAPK3
NTRK1	ELAVL1
ELAVL1	ELK4
INSR	TEAD1
TEAD1	SRF
NTRK1	TOP1
MCCC2	HMGCL
HMGCL	RNF126
RNF126	CDKN1A
CDKN1A	JUN
HMGCL	HES1
HES1	STAT3
STAT3	SP1
STAT3	NFKB1
RNF126	UBE2D2
UBE2D2	RELA
HMGCL	ARL6IP1
ARL6IP1	FBXW7
FBXW7	NFKB2
ARL6IP1	GORASP2
GORASP2	NONO
NONO	SPI1
HES1	SIRT1
SIRT1	CREB1
RNF126	EGFR
EGFR	STAT1
HES1	HSP90AA1
HSP90AA1	IRF3
CDKN1A	CEBPA
GORASP2	APP
HES1	HSPA4
HSPA4	REL
HMGCL	LSM12
LSM12	SSB2
SSB2	UBA2
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	RXRA
LSM12	HSP82
HSP82	NR3C1
NR3C1	RXRB
NCOR2	RXRG
HSP90AA1	PPARA
EGFR	SOS1
EGFR	SOS2
CDKN1A	HDAC1
HDAC1	CREM
CDKN1A	MAPK8
MAPK8	ELK4
NCOR2	SRF
LSM12	THP2
THP2	TOP1
PC	RPS3A
RPS3A	DDIT3
DDIT3	JUN
PC	KPNA4
KPNA4	TP53
TP53	SP1
KPNA4	CUL4B
CUL4B	NFKB1
TP53	RELA
KPNA4	DAXX
DAXX	TSG101
TSG101	NFKB2
PC	COPB1
COPB1	ARF1
ARF1	SPI1
DAXX	CREB1
PC	FASN
FASN	AHSA1
AHSA1	STAT1
COPB1	TANK
TANK	IRF3
KPNA4	APP
COPB1	GRB2
DAXX	TP63
TP63	ETV4
GSK3B	RXRA
TP53	NR4A1
NR4A1	RXRG
RPS3A	HSP90AA1
GRB2	SOS1
GRB2	SOS2
DAXX	CREBBP
CREBBP	CREM
PC	CAD
CAD	SMARCA4
SMARCA4	SRF
TP53	TOP1
PC	PFAS
PFAS	CAPN1
CAPN1	STAT3
PCCA	PCCB
ACACA	BRCA1
BRCA1	JUN
BRCA1	SP1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
RELA	NFKB2
BRCA1	RB1
RB1	SPI1
BRCA1	CREB1
BRCA1	STAT1
EP300	IRF3
BRCA1	SMAD3
SMAD3	CEBPA
BRCA1	CREBBP
CREBBP	ELK1
EP300	REL
BRCA1	TP63
EP300	RXRA
EP300	NR3C1
BRCA1	RPAP2
RPAP2	RXRG
BRCA1	UBE2I
UBE2I	PPARA
ACACA	PSMD2
PSMD2	TNFRSF1A
TNFRSF1A	SOS1
BRCA1	ESR1
ESR1	SOS2
BRCA1	ELK4
CREBBP	SRF
EP300	TCF3
TCF3	ELK3
EP300	STAT3
STAT3	CPT1C
NR3C2	ATP1A3
ATF6B	FOS
ATF4	FOS
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	BIRC2
TCF7	CCND2
TCF7L2	SNAI2
TCF7L2	CCND3
TEAD1	SOX2
TEAD3	CTGF
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT5A	CCND3
TP53	SESN3
STAT3	VEGFB
ETS1	MMP1
NFKB2	CCND1
CREB3	BCL2
PPARA	SLC27A4
PPARA	LPL
PPARG	SLC27A4
PPARG	PLIN1
RXRA	ACSBG2
RXRA	ACOX2
RXRB	ACADM
RXRB	APOC3
RXRB	SLC27A1
CEBPA	TWF2
ELK1	TWF2
NFIC	ADA
TFAP2A	ADRA1A
NFIC	AFP
EGR1	AKR1B1
NFKB1	AKR1B1
USF1	APOC3
USF2	APOC3
TFAP2A	CCNB1
USF2	CCNB1
ATF2	CCND1
CREB1	CCND1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CCND1
ESR1	MYC
JUN	NPPA
E2F4	POLA
ETS1	PRL
CEBPD	PTGS2
TFAP2A	VHL
ETS1	VWF
NFIC	VWF
