CACNA1C	COPS5
COPS5	TP53
COPS5	HIF1A
COPS5	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
COPS5	NCOA1
NCOA1	ARNT
CTNNB1	FOXO3
CACNA2D1	RAB11A
RAB11A	RCHY1
RCHY1	TP53
TP53	HIF1A
RCHY1	AR
AR	CREBBP
RAB11A	RAB5A
RAB5A	PIK3R1
PIK3R1	EP300
RAB11A	KCNH2
KCNH2	HSP90AA1
HSP90AA1	ARNT
RCHY1	MDM2
MDM2	FOXO3
CACNA1S	SRI
SRI	ANXA7
ANXA7	TP53
SRI	STAT3
STAT3	HIF1A
SRI	TCF12
TCF12	CREBBP
STAT3	EP300
STAT3	PML
PML	ARNT
EP300	FOXO3
CALM1	ESR1
ESR1	TP53
ESR1	HIF1A
ESR1	CREBBP
ESR1	EP300
CALM1	HSP90AA1
CALM1	AKT1
AKT1	FOXO3
CALM2	AKAP9
AKAP9	CSNK1D
CSNK1D	TP53
CALM2	CCND2
CCND2	PCGF2
PCGF2	HIF1A
CCND2	CDK2
CDK2	CREBBP
CALM2	MYO6
MYO6	CLTC
CLTC	EP300
CCND2	RB1
RB1	ARNT
CCND2	CDK6
CDK6	FOXO3
CALM3	APPBP2
APPBP2	RNF34
RNF34	TP53
CALM3	CCND2
RB1	EP300
KCNA1	KCNA4
KCNA4	SRC
SRC	TP53
SRC	STAT3
SRC	CREBBP
KCNA1	KCNA2
KCNA2	CTTN
CTTN	EP300
KCNA4	SIRT1
SIRT1	RB1
SIRT1	FOXO3
CACNA1H	KLHL1
KLHL1	CACNA1A
CACNA1A	HECW1
HECW1	TP53
KLHL1	Csk
Csk	Crebbp
Crebbp	HIF1A
Csk	CSK
CSK	CREBBP
CACNA1A	NOTCH1
NOTCH1	EP300
HIF1A	ARNT
Crebbp	SIRT1
TP53	GADD45G
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	NOS2
EP300	CDKN1B
EP300	NOS2
HIF1A	CDKN1B
HIF1A	NOS2
ARNT	CDKN1B
ARNT	NOS2
FOXO3	CDKN1B
