PDE4A	SQSTM1
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	CUL1
CUL1	E2F1
E2F1	SP4
SQSTM1	MAPK1
SQSTM1	SNCA
SNCA	MAPK3
MAPK1	JUN
SQSTM1	YWHAZ
YWHAZ	ABL1
ABL1	FOS
SQSTM1	NCOR1
NCOR1	ETS1
SQSTM1	BCL2
BCL2	MYC
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
MAPK1	SP1
MAPK1	ATF2
NCOR1	PPARA
MAPK1	RXRA
SQSTM1	RARA
RARA	RXRB
CUL1	RXRG
SNCA	ELK1
SQSTM1	NTRK1
NTRK1	STAT3
NTRK1	STAT1
PDE4B	MAGEA11
MAGEA11	EP300
EP300	CREB1
MAGEA11	E2F1
EP300	MAPK1
MAGEA11	VTA1
VTA1	MAPK3
EP300	JUN
EP300	FOS
EP300	ETS1
EP300	MYC
EP300	NFKB1
EP300	RELA
EP300	SP1
EP300	ATF2
PDE4B	RCBTB2
RCBTB2	UBE2I
UBE2I	PPARA
EP300	RXRA
MAGEA11	NR3C1
NR3C1	RXRB
EP300	PPARG
PPARG	RXRG
UBE2I	ELK1
EP300	STAT3
EP300	STAT1
PDE4D	APP
APP	KAT5
KAT5	CREB1
PDE4D	MDM2
MDM2	E2F1
PDE4D	ARRB2
ARRB2	MAPK1
ARRB2	MAPK3
MDM2	JUN
APP	MAPK7
MAPK7	FOS
MAPK7	ETS1
APP	MYC
APP	GSK3B
GSK3B	NFKB1
MDM2	RELA
APP	MAPK8
MAPK8	SP1
MAPK8	ATF2
APP	AKAP13
AKAP13	PPARA
GSK3B	RXRA
AKAP13	RXRB
MDM2	CUL1
APP	ELK1
MAPK8	STAT3
ARRB2	STAT1
PDE4C	SRI
SRI	STAT3
STAT3	EP300
EP300	E2F1
STAT3	MAPK1
STAT3	PML
PML	MAPK3
STAT3	JUN
PML	FOS
PML	MYC
STAT3	NFKB1
STAT3	RELA
STAT3	SP1
PML	ATF2
RELA	PPARA
PML	RXRA
PML	PPARG
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
STAT3	MAPK8
MAPK8	ELK1
STAT3	STAT1
PGD	RPS6KA1
RPS6KA1	CREB1
PGD	GNAI3
GNAI3	YWHAQ
YWHAQ	E2F1
RPS6KA1	MAPK1
RPS6KA1	MAPK3
PGD	SUMO3
SUMO3	PML
PML	JUN
SUMO3	UBE2I
UBE2I	ETS1
PGD	TALDO1
TALDO1	TP73
TP73	MYC
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
PML	SP1
GNAI3	XPO1
XPO1	PPARG
GNAI3	GNB2
GNB2	STAT3
XPO1	STAT1
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
MYC	CCND1
MAPK11	IL8
RBPJL	FCER2
TEAD1	BIRC5
TEAD4	AXIN2
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
RELA	PTGS2
RELA	CCL4L1
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RBPJL	HES5
TP53	RPRM
FOS	VEGFA
CREB3L3	MCL1
PPARD	PDPK1
RXRA	FABP3
RXRA	SCD5
RXRB	ACAA1
RXRB	MMP1
MAPK8	IL8
SMAD2	PITX2
MAPK13	IL12B
MAPK13	IL18
RELA	CEBPB
RELA	IL18
POU2F1	LPL
MYB	MAT2A
NFKB1	MAT2A
SP1	MAT2B
SP1	TNF
SP3	TNF
SPI1	TNF
ETV4	VIM
