SLC22A6	APP
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
APP	MAPK8
MAPK8	NR4A1
NR4A1	RXRG
APP	RFX5
RFX5	PPARG
MAPK8	CEBPA
APP	MYC
MYC	FOXO3
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	NFIC
APP	STUB1
STUB1	FOXO1
APP	CSNK1D
CSNK1D	SMAD4
AKAP13	PPARA
MAPK8	TP53
APP	HDAC4
HDAC4	STAT1
APP	MCM7
MCM7	HIF1A
GSK3B	SMAD3
PANX1	GNAS
GNAS	RUVBL1
RUVBL1	UBE2I
UBE2I	RXRA
RUVBL1	RARA
RARA	RXRB
RARA	RXRG
GNAS	C1QBP
C1QBP	PRKCA
PRKCA	PPARG
C1QBP	CEBPA
RUVBL1	CTNNB1
CTNNB1	FOXO3
RUVBL1	ELAVL1
C1QBP	LRPPRC
LRPPRC	FOXO1
RUVBL1	LEF1
LEF1	SMAD4
C1QBP	DAP3
DAP3	PPARA
GNAS	AXIN1
AXIN1	TP53
GNAS	GNB2
GNB2	STAT1
GNAS	GIPC1
GIPC1	MCM7
RUVBL1	CREBBP
CREBBP	SMAD3
EP300	PDK1
LEF1	AXIN1
CREBBP	MITF
CREB3L3	MITF
NFKB1	TNFAIP3
NFKB1	VEGFC
EPAS1	FIGF
FOS	PGF
MYC	VEGFC
NFKB2	BCL2L1
FOXO3	CDKN1B
CREB3L2	BCL2
PPARA	CPT2
PPARA	ACSBG2
PPARD	ANGPTL4
PPARG	CPT1A
RXRA	APOA5
RXRA	FABP1
POU2F1	HIST2H2BE
FOS	HLA-DRA
RELA	MYC
SP1	MYC
