CA1	TFCP2
TFCP2	HDAC1
HDAC1	NFKB1
TFCP2	HDAC2
HDAC2	RELA
HDAC2	SP1
TFCP2	SUMO1
SUMO1	NR1H4
TFCP2	CASP8
CASP8	CEBPB
SUMO1	TP53
TP53	EGR1
SUMO1	DAXX
DAXX	ETS1
RELA	USF2
HDAC1	POU2F1
HDAC2	SP3
SUMO1	UBE2I
UBE2I	PPARA
SUMO1	PML
PML	RXRA
HDAC2	RARA
RARA	RXRB
NR1H4	RXRG
TFCP2	BAG6
BAG6	CDKN1A
CDKN1A	CEBPA
PML	JUN
HDAC2	HIF1A
TP53	ETS2
HDAC1	CREB1
CASP8	MAPK1
PML	MAPK3
PML	ATF2
HDAC1	PPARG
TFCP2	CDC73
CDC73	HSP90AA1
HSP90AA1	NFIC
HDAC1	NR3C1
NR3C1	POU2F2
TP53	TFAP2A
PML	FOS
HDAC1	SPI1
CA2	NONO
NONO	HDAC3
HDAC3	NFKB1
HDAC3	RELA
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	SP1
NONO	SMARCD1
SMARCD1	NR1H4
NONO	SMARCA4
SMARCA4	CEBPB
CDKN2A	EGR1
NONO	SPI1
SPI1	ETS1
CDKN2A	BRCA1
BRCA1	USF2
NONO	HDAC1
CDKN2A	TP53
NONO	SFPQ
SFPQ	SP3
CDKN2A	HSP90AA1
HSP90AA1	PPARA
NONO	TRIM24
TRIM24	RXRA
SMARCA4	NR3C1
NR3C1	RXRB
TRIM24	RARA
RARA	RXRG
CDKN2A	C1QBP
C1QBP	CEBPA
HDAC3	JUN
CDKN2A	HIF1A
SPI1	ETS2
NONO	PPP1CA
PPP1CA	CREB1
SFPQ	MAPK1
BRCA1	MAPK3
SLC4A1	CLU
CLU	MAPK9
MAPK9	ATF2
SFPQ	PPARG
CLU	XRCC6
XRCC6	POU2F2
BRCA1	TFAP2A
SPI1	FOS
SLC12A2	COMMD1
COMMD1	NFKB1
COMMD1	RELA
COMMD1	EP300
EP300	SP1
EP300	NR1H4
EP300	CEBPB
EP300	EGR1
EP300	ETS1
EP300	USF2
RELA	POU2F1
SLC12A2	SEC13
SEC13	BCR
BCR	TP53
EP300	SP3
RELA	PPARA
EP300	RXRA
EP300	NR3C1
COMMD1	CUL1
CUL1	RXRG
SEC13	IRE1
IRE1	ATF2
ATF2	CEBPA
EP300	JUN
COMMD1	HIF1A
EP300	RARA
EP300	ETS2
EP300	CREB1
EP300	MAPK1
TP53	MAPK3
EP300	PPARG
BCR	HSP90AA1
SLC12A2	GNG12
GNG12	TBP
TBP	POU2F2
EP300	TFAP2A
SEC13	POLR2E
POLR2E	FOS
TBP	SPI1
SLC12A3	HSPA8
HSPA8	RELA
RELA	NFKB1
SLC12A3	HSP90AA1
HSP90AA1	SP1
SLC12A3	ACTB
ACTB	EP300
HSPA8	ESR1
ESR1	CEBPB
RELA	EGR1
HSPA8	TP53
TP53	ETS1
HSPA8	POU2F1
ESR1	SP3
RELA	RXRA
HSPA8	FLYWCH2
FLYWCH2	RXRB
SLC12A3	NEDD4
NEDD4	PPARG
PPARG	RXRG
HSPA8	UBE3A
UBE3A	CEBPA
RELA	JUN
HSP90AA1	HIF1A
UBE3A	RARA
HSPA8	ABL1
ABL1	CREB1
ESR1	MAPK1
HSPA8	SNCA
SNCA	MAPK3
NEDD4	SMAD3
SMAD3	ATF2
SLC12A3	HSPA1A
HSPA1A	NR3C1
RELA	FOS
HSPA1A	NONO
ATF6B	BDNF
CREB3L4	CRH
NR3C2	ATP1A4
NR3C2	ATP1B3
GLI2	BMP4
GLI2	WNT3
GLI3	WNT4
EP300	ENO3
STAT4	SOCS3
STAT5B	CCND3
RBPJL	HES1
TP53	PIDD
ETS1	IL8
ETS1	VEGFA
FOS	VEGFB
NFKB1	NOS2
CREB3	MCL1
FOXO3	G6PC
CREB3L1	MCL1
PPARA	SLC27A1
PPARA	ACOX2
PPARD	UCP1
PPARG	ACSL5
RXRA	CPT1C
RXRA	ACSL3
RXRG	EHHADH
MAPK1	IL8
CREBBP	CDKN2B
IRF7	IFNA8
NFYA	LOC101060835
NFYA	HLA-DMA
NFYA	HLA-DMB
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYB	HLA-DMA
NFYB	HLA-DMB
NFYB	HLA-DOA
NFYB	HLA-DPA1
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYB	HLA-DQA2
NFYB	HLA-DQB1
NFYB	HLA-DRA
MAPK3	NOS2
MAPK3	IL23A
MAPK3	TNF
RFX5	HLA-DRB5
RFXANK	HLA-DRB1
RFXANK	HLA-DRB3
RFXANK	HLA-DRB4
PDX1	INS
LEF1	JUN
USF1	APOA2
USF2	APOA2
CEBPA	APOB
PPARA	APOB
ATF2	APOC3
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
E2F4	DHFR
BRCA1	ESR1
BRCA2	ESR1
STAT5A	ESR1
STAT5B	ESR1
TFAP2C	ESR1
CREB1	F3
USF1	HMOX1
CEBPB	HP
ATF4	HPGD
CREB1	HPGD
ETS1	HPGD
ESR1	HSPB1
SP1	HSPB1
CEBPA	ICAM1
CEBPB	ICAM1
CREB1	ICAM1
CREM	ICAM1
ATF2	IFNG
STAT4	IFNG
SP1	ITGA2
ELK1	PDGFB
NFKB1	PDGFB
E2F1	POLA
NFIC	POLA
ESR1	SP1
USF1	SP1
EGR1	TFPI2
