ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	BCR
BCR	TP53
AP2M1	HSPA8
HSPA8	RELA
EP300	STAT3
BCR	RB1
RB1	E2F4
EP300	CREB1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CSNK2B
CSNK2B	MYC
AP2M1	RUVBL2
RUVBL2	ATF2
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
EP300	ATF4
EP300	STAT1
AP2M1	STX8
STX8	CREB3
AP2M1	UBC
UBC	ATF6
ATF6	ATF6B
CREB3	CREB3L2
CSNK2B	PRKAB2
PRKAB2	CREB3L1
AP2M1	EPS15
EPS15	TRAF2
TRAF2	CREB5
EP300	REL
EPS15	TFAP2A
AP2M1	APC
APC	CREBBP
EP300	HIF1A
EP300	ARNT
EP300	CEBPB
EP300	ETS1
HSPA8	HTT
HTT	ETV4
EP300	EGR1
HSPA8	POU2F1
EP300	FOS
AP2M1	ITSN1
ITSN1	SOS1
AP2M1	CRK
CRK	SOS2
UBC	E2F1
RB1	E2F2
RB1	E2F3
EP300	JUND
SFPQ	MAPK1
MAPK1	ELK1
EEF1A1	IKBKG
IKBKG	NFKB2
AP2M1	SPTBN1
SPTBN1	SMAD3
SPTBN1	SMAD4
CSNK2B	STAT5A
BCR	PTPN6
PTPN6	STAT5B
JUN	STAT4
AP2M1	PER1
PER1	GAS1
GAS1	ATF1
AP2M1	RALBP1
RALBP1	AMOTL2
AMOTL2	YAP1
EEF1A1	RUVBL1
RUVBL1	LEF1
UBC	DAZAP2
DAZAP2	TCF7
EEF1A1	FUS
FUS	TCF7L2
AP2M1	CHD8
CHD8	CTNNB1
CTNNB1	TCF7L1
AP2M1	DVL2
DVL2	WWTR1
WWTR1	TEAD1
PER1	VPS52
VPS52	TEAD4
CLTC	PHB2
PHB2	TEAD3
EP300	STAT2
EEF1A1	STAT6
EP300	USF2
CSNK2B	BRCA1
BRCA1	ELK4
AP2M1	PRKDC
PRKDC	SRF
EP300	TCF3
TCF3	ELK3
BRCA1	FLI1
EEF1A1	CBS
CBS	HSF1
HSPA8	ERG
EP300	JUNB
HSPA8	ESR1
EP300	ETS2
EP300	MAX
AP2M1	IKZF1
IKZF1	NCOR2
NCOR2	RARB
POU2F1	SP4
CSNK2B	MAPK14
HSPA8	BAG3
BAG3	MAPK11
HSPA8	VCP
VCP	MAPK13
EEF1A1	MDM2
MDM2	MYD88
SFPQ	PPARG
EEF1A1	GADD45G
GADD45G	PPARA
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
PPARG	RXRG
BCR	RAC1
RAC1	RELB
SFPQ	SP3
AP2M1	IQGAP1
IQGAP1	MAPK3
TP53	NFYA
EP300	NFYB
AP2M1	GAPDH
GAPDH	NFYC
PPARG	RFX5
EEF1A1	NHP2L1
NHP2L1	RFXAP
EEF1A1	RAF1
RAF1	RFXANK
APC	EPAS1
SFPQ	HDAC1
HDAC1	CREM
HSPA8	UBE3A
UBE3A	CEBPA
EP300	RARA
EP300	ZBTB17
EEF1A1	GTF2I
GTF2I	PIAS2
HSP90AA1	NR3C2
EP300	IRF5
NCOR2	RARG
CLTC	SRC
SRC	ESR2
EP300	IRF3
GADD45G	PPARD
SPTBN1	SMAD2
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
ADRA1D	DTNA
DTNA	NMT1
NMT1	TP53
RELA	STAT3
ADRA1D	AMFR
AMFR	TRIM28
TRIM28	E2F4
AMFR	ATXN3
ATXN3	CREB1
DTNA	NUP62
NUP62	SP1
RELA	JUN
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
DTNA	ACTB
ACTB	EP300
