KCNJ11	YWHAB
YWHAB	HDAC4
HDAC4	NFKB1
YWHAB	PRKCZ
PRKCZ	RELA
YWHAB	ABL1
ABL1	JUN
YWHAB	RFWD2
RFWD2	ETS1
ABL1	FOS
YWHAB	APP
APP	MYC
PRKCZ	SP1
YWHAB	IGF1R
IGF1R	ESR1
APP	GSK3B
GSK3B	CEBPB
YWHAB	MAP2K2
MAP2K2	MAPK1
MAP2K2	MAPK3
YWHAB	HES1
HES1	STAT3
HDAC4	HIF1A
APP	KAT5
KAT5	MAX
YWHAB	YWHAZ
YWHAZ	TP53
TP53	EGR1
YWHAB	CDK11B
CDK11B	POU2F1
YWHAB	AKAP13
AKAP13	PPARA
ABL1	CREB1
YWHAB	HSPA5
HSPA5	EP300
EP300	USF2
YWHAB	GRIP1
GRIP1	CREBBP
EP300	ARNT
RFWD2	ETS2
GRIP1	PPARG
YWHAZ	COPS5
COPS5	CREB3
HDAC4	ATF2
YWHAB	CDC25A
CDC25A	NFYA
NFYA	ATF6B
CDC25A	TRIB3
TRIB3	ATF4
YWHAB	GIGYF2
GIGYF2	ELAVL1
ELAVL1	CREB3L2
YWHAB	BAD
BAD	CREB3L3
CREB3L3	CREB3L1
ABL1	BRCA1
BRCA1	CREB5
APP	MAPK8
MAPK8	REL
CDC25A	SMAD3
RFWD2	JUND
YWHAB	YWHAQ
YWHAQ	YAP1
CA1	TFCP2
TFCP2	HDAC1
HDAC1	NFKB1
TFCP2	HDAC2
HDAC2	RELA
TFCP2	SUMO1
SUMO1	PML
PML	JUN
SUMO1	DAXX
DAXX	ETS1
PML	FOS
HDAC2	MYC
HDAC2	SP1
HDAC2	ESR1
TFCP2	CASP8
CASP8	CEBPB
CASP8	MAPK1
PML	MAPK3
HDAC1	STAT3
HDAC2	HIF1A
TFCP2	APBB1
APBB1	KAT5
SUMO1	TP53
HDAC1	POU2F1
SUMO1	UBE2I
UBE2I	PPARA
HDAC1	CREB1
RELA	USF2
HDAC2	CREBBP
HDAC1	EP300
PML	ARNT
TP53	ETS2
HDAC1	PPARG
HDAC1	DDIT3
DDIT3	CREB3
PML	ATF2
TFCP2	CBX8
CBX8	MOV10
MOV10	ATF6B
CREBBP	ATF4
TFCP2	RNF2
RNF2	ELAVL1
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
TFCP2	FBXL18
FBXL18	MDFI
MDFI	CREB5
SUMO1	PARK2
PARK2	REL
SUMO1	PIAS4
PIAS4	SMAD3
TFCP2	EAF1
EAF1	TPM1
TPM1	JUND
PML	YAP1
CA2	NONO
NONO	HDAC3
HDAC3	NFKB1
HDAC3	RELA
HDAC3	JUN
NONO	SPI1
SPI1	ETS1
SPI1	FOS
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	MYC
CDKN2A	SP1
NONO	SMARCA4
SMARCA4	ESR1
SMARCA4	CEBPB
NONO	SFPQ
SFPQ	MAPK1
CDKN2A	BRCA1
BRCA1	MAPK3
SMARCA4	STAT3
CDKN2A	HIF1A
NONO	CSTF2
CSTF2	MAX
CDKN2A	EGR1
CDKN2A	TP53
NONO	HDAC1
CDKN2A	HSP90AA1
HSP90AA1	PPARA
NONO	PPP1CA
PPP1CA	CREB1
BRCA1	USF2
SMARCA4	CREBBP
NONO	CTTN
CTTN	EP300
BRCA1	ARNT
SPI1	ETS2
SFPQ	PPARG
HDAC3	CREB3
SLC4A1	CLU
CLU	MAPK9
MAPK9	ATF2
CDKN2A	CDK6
CDK6	ATF6B
NONO	PTBP1
PTBP1	ELAVL1
HDAC3	RUNX1T1
CA2	HSPD1
HSPD1	RGS20
RGS20	CREB5
HSPD1	HSPA4
HSPA4	REL
SMARCA4	SMAD3
MAPK9	JUND
PPP1CA	YAP1
ATP1A1	RPN1
RPN1	RPS3
RPS3	NFKB1
RPS3	RELA
ATP1A1	CCT7
CCT7	CEBPE
CEBPE	JUN
ATP1A1	PHB
PHB	TP53
TP53	ETS1
CEBPE	FOS
CCT7	APP
PHB	RB1
RB1	SP1
PHB	ESR1
CCT7	TRIM28
TRIM28	CEBPB
ESR1	MAPK1
RPN1	UBA1
UBA1	MAPK3
RPN1	BMH1
BMH1	STAT3
RPN1	OS9
OS9	HIF1A
CCT7	KAT5
CEBPE	POU2F1
ATP1A1	VDAC1
VDAC1	PHB2
PHB2	NCOR1
NCOR1	PPARA
KAT5	CREB1
VDAC1	CLTC
CLTC	EP300
TRIM28	CREBBP
RB1	ARNT
RB1	PPARG
OS9	CREB3
VDAC1	HK1
HK1	ATF2
OS9	ERLEC1
ERLEC1	ATF6B
CEBPE	ATF4
VDAC1	APOE
APOE	ELAVL1
VDAC1	TSPO
TSPO	CREB3L1
VDAC1	ATP5O
ATP5O	TRIP6
TRIP6	CREB5
RPN1	NDE1
NDE1	REL
ATP1A1	UQCRC2
UQCRC2	HNRNPK
HNRNPK	SMAD3
EP300	JUND
RPN1	NPR1
NPR1	YAP1
KCNMA1	GSK3B
GSK3B	NFKB1
KCNMA1	HSPA8
HSPA8	RELA
GSK3B	JUN
KCNMA1	ARF1
ARF1	SPI1
GSK3B	MYC
KCNMA1	HSP90AA1
HSP90AA1	SP1
KCNMA1	YWHAQ
YWHAQ	ESR1
KCNMA1	SNCA
SNCA	MAPK1
SNCA	MAPK3
HSP90AA1	STAT3
KCNMA1	VCP
VCP	HIF1A
KCNMA1	PPP1CB
PPP1CB	MAX
KCNMA1	YWHAZ
KCNMA1	LMNB1
LMNB1	POU2F1
KCNMA1	AKT1
AKT1	CREB1
KCNMA1	HSPA5
AKT1	CREBBP
HSP90AA1	ARNT
KCNMA1	CAV1
CAV1	PPARG
ARF1	IRE1
IRE1	ATF2
KCNMA1	GAPDH
GAPDH	NFYC
NFYC	ATF6B
EP300	ATF4
SNCA	Dynll1
Dynll1	CREB3L2
KCNMA1	VDAC1
AKT1	BRCA1
EP300	REL
GSK3B	SMAD3
ARF1	TPM1
SLC12A3	HSPA8
RELA	NFKB1
RELA	JUN
HSPA8	TP53
RELA	FOS
SLC12A3	HSP90AA1
HSP90AA1	MYC
HSPA8	ESR1
ESR1	CEBPB
HSPA8	SNCA
HSP90AA1	HIF1A
HSP90AA1	MAX
RELA	EGR1
HSPA8	POU2F1
HSPA8	ABL1
ESR1	CREBBP
SLC12A3	ACTB
ACTB	EP300
SLC12A3	NEDD4
NEDD4	PPARG
ESR1	HDAC3
NEDD4	SMAD3
SMAD3	ATF2
HSP90AA1	CDK6
RELA	ATF4
NEDD4	RPS3A
RPS3A	DDIT3
DDIT3	CREB3L1
NEDD4	KIFC3
KIFC3	CREB5
RELA	REL
SMAD3	JUND
ABL1	YAP1
IFNG	IDO1
TNF	ICAM1
CREB3	CRH
CREB3	FOSB
CREB1	CRH
CREB1	FOSB
ATF2	CRH
ATF2	FOSB
ATF6B	CRH
ATF6B	FOSB
CREB3L4	NPY
CREB3L4	BDNF
ATF4	NPY
ATF4	BDNF
CREB3L2	CRH
CREB3L2	FOSB
ARNTL	BHLHE40
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
TCF7	MYC
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
MAPK14	IL8
RBPJL	FGR
RBPJ	FGR
TP53	MDM2
ELK1	CCND1
EGR3	FASLG
CREB3L2	PCNA
CREBBP	FIGF
CREBBP	SLC2A1
EP300	FIGF
EP300	SLC2A1
HIF1A	FIGF
ARNT	EDN1
ARNT	EGF
ARNT	PFKFB1
TEAD4	AXIN1
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
HNF1A	HNF4A
HNF1A	HNF4G
RELA	PTGS2
RELA	CCL4
RELB	CCL19
RELB	CXCL12
PIK3CD	AKT3
PIK3R1	PDPK1
PIK3R2	PDPK1
RXRA	GK
RXRA	GK2
RXRA	ACADL
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA14
MYD88	IFNA17
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK1	IL12B
MAPK8	IL23A
MAPK11	IL12B
MAPK11	NOS2
MAPK9	NOS2
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
CREB1	TINAGL1
CREB1	CD55
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
TP53	AQP1
ATF1	AQP3
NFIC	COL1A1
RELA	COL1A1
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
SP1	FOSL1
SPI1	IL1B
CEBPB	IL5
ETS2	IL5
JUND	IL5
POU2F2	IL5
SPI1	IL5
ATF1	IL6
PPARG	MMP9
BCL3	MYB
CREB1	NRAS
JUN	NRAS
ATF1	NTS
CREB1	NTS
JUND	NTS
MYC	ODC1
WT1	ODC1
CEBPA	PCK2
BRCA1	PCNA
TP53	PCNA
SP3	PDGFB
FOS	PDHA1
TFAP2A	PDHA1
PAX6	PDHX
FOS	PENK
JUN	PENK
E2F4	TOP1
PAX2	TP53
PAX8	TP53
STAT3	TRH
NFKB1	VWF
SMAD3	ZFP36
