PTGS2	EP300
EP300	SP1
EP300	CREB1
EP300	STAT1
EP300	JUN
EP300	ETS1
EP300	FOS
EP300	STAT3
EP300	HIF1A
EP300	CREBBP
EP300	ARNT
EP300	TFAP2A
EP300	SMAD3
EP300	SMAD4
PTGS1	CAV1
CAV1	CTNNB1
CTNNB1	SP1
CAV1	PPP1CA
PPP1CA	CREB1
CAV1	EGFR
EGFR	STAT1
CAV1	CSK
CSK	JUN
PTGS1	PTGS2
EGFR	STAT3
CTNNB1	HIF1A
CTNNB1	CREBBP
CAV1	PPARG
PPARG	TFAP2A
CAV1	MAPK1
MAPK1	SMAD3
CAV1	AR
AR	SMAD4
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
JUN	CYP11A1
SP1	KRT5
TFAP2A	KRT5
SP3	LCAT
ETS1	LCK
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
