GABRA1	PRKCD
PRKCD	SP1
PRKCD	EP300
EP300	SMAD3
PRKCD	YWHAG
YWHAG	YAP1
EP300	SMAD4
EP300	SMAD2
YWHAG	WWTR1
PRKCD	INSR
INSR	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
PRKCD	STAT3
STAT3	JUN
STAT3	RELA
PRKCD	TP53
EP300	ESR1
PRKCD	HSP90AA1
HSP90AA1	PPARA
EP300	PPARG
EP300	USF2
PRKCD	HSPA4
HSPA4	ERG
EP300	CREBBP
STAT3	HIF1A
EP300	ARNT
HSP90AA1	PPARD
EP300	TP63
TP63	ETV4
STAT3	NFKB1
STAT3	SMAD1
SMAD1	LEF1
PRKCD	ELAVL1
ELAVL1	DAZAP2
DAZAP2	TCF7
ELAVL1	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
EP300	EGR1
EP300	EPAS1
PRKCD	APP
APP	MYC
PRKCD	TNFRSF1A
TNFRSF1A	SOS1
STAT3	EGFR
EGFR	SOS2
EP300	TFAP2A
EP300	STAT5A
INSR	STAT5B
PRKCD	STAT1
APP	ELK1
EP300	RXRA
APP	AKAP13
AKAP13	RXRB
PPARG	RXRG
EP300	CREB1
EP300	SMAD7
EP300	STAT2
STAT3	TRIM28
TRIM28	STAT4
STAT3	STAT6
EP300	ETS1
HSP90AA1	NFIC
EP300	RARA
EP300	MYB
ELAVL1	CEBPA
STAT3	PML
PML	E2F4
STAT3	NFKB2
PRKCD	FLI1
EP300	ARNTL
EP300	NPAS2
EP300	CLOCK
STAT3	NCOA1
NCOA1	RARB
SP1	POU2F1
EP300	FOS
EP300	ATF2
EP300	JUND
EP300	SP3
EP300	ATF4
EP300	ETS2
SP1	ESR2
STAT3	MAPK1
PRKCD	SNCA
SNCA	MAPK3
PML	SPI1
HSP90AA1	CEBPE
STAT3	PGR
NCOA1	RARG
STAT3	COPS5
COPS5	CREB3
TP53	NFYA
NFYA	ATF6B
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
EP300	BRCA1
BRCA1	CREB5
EP300	CEBPB
BRCA1	ATF1
APP	HMGA1
HMGA1	POU2F2
EP300	JUNB
EP300	MAPK14
PML	MAPK11
PRKCD	VCP
VCP	MAPK13
STAT3	MAPK8
TP53	MAPK9
TP53	MAPK10
HSP90AA1	NR3C2
EP300	IRF3
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	SP1
TP53	SMAD3
ZCCHC10	PIN1
PIN1	YAP1
ZCCHC10	SNIP1
SNIP1	SMAD4
TP53	SMAD2
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	WWTR1
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	TEAD4
TEAD4	TEAD1
BEND7	C1QBP
C1QBP	PHB2
PHB2	TEAD3
PIN1	JUN
TP53	RELA
TP53	ESR1
SDCBP2	PRPF40A
PRPF40A	UBE2I
UBE2I	PPARA
PIN1	PPARG
TP53	EP300
SDCBP2	SEC23A
SEC23A	HSPA4
TP53	CREBBP
HIF1A	ARNT
TIFA	IRAK1
IRAK1	HSP90AA1
PRPF40A	HTT
HTT	ETV4
SDCBP2	ZNF581
ZNF581	BANP
BANP	NFKB1
TRIM27	PIAS4
PIAS4	LEF1
PRPF40A	UBQLN4
UBQLN4	DAZAP2
UBE2I	TCF7L2
ZNF581	SUV39H1
SUV39H1	CTNNB1
TRAF6	STAT3
TP53	EGR1
PRPF40A	TERF2IP
TERF2IP	EPAS1
SDCBP2	C1orf35
C1orf35	APP
TRAF6	NTRK1
NTRK1	SOS1
NTRK1	SOS2
TP53	TFAP2A
SDCBP2	PRPF38A
PRPF38A	CSNK2B
CSNK2B	STAT5A
NTRK1	STAT5B
IRAK1	STAT1
UBE2I	RXRA
IRAK1	CUL1
CUL1	RXRG
TP53	CREB1
TRAF6	TGFBR1
TGFBR1	SMAD7
STAT1	STAT2
TRIM27	PIAS2
PIAS2	STAT4
ZCCHC10	EEF1A1
EEF1A1	STAT6
TP53	ETS1
TRAF6	SMURF1
