CACNA1C	COPS5
COPS5	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
COPS5	HIF1A
COPS5	NCOA1
NCOA1	ARNT
COPS5	TP53
TP53	CREB1
CACNA2D1	RAB11A
RAB11A	RCHY1
RCHY1	AR
AR	CREBBP
RAB11A	RAB5A
RAB5A	PIK3R1
PIK3R1	EP300
RCHY1	TP53
TP53	HIF1A
RAB11A	KCNH2
KCNH2	HSP90AA1
HSP90AA1	ARNT
RAB5A	RAB1A
RAB1A	CREB1
CACNG1	VAPA
VAPA	APP
APP	CDC20
CDC20	CREBBP
APP	MAPK8
MAPK8	EP300
VAPA	FAF1
FAF1	HIF1A
VAPA	RPL5
RPL5	PML
PML	ARNT
APP	KAT5
KAT5	CREB1
CACNA1S	SRI
SRI	TCF12
TCF12	CREBBP
SRI	STAT3
STAT3	EP300
STAT3	HIF1A
STAT3	PML
EP300	CREB1
CACNA1H	KLHL1
KLHL1	Csk
Csk	CSK
CSK	CREBBP
KLHL1	CACNA1A
CACNA1A	NOTCH1
NOTCH1	EP300
Csk	Crebbp
Crebbp	HIF1A
HIF1A	ARNT
CREBBP	CREB1
CREB1	IL8
FOS	MMP9
CREB5	PCNA
CREBBP	GAPDH
CREBBP	HKDC1
EP300	GAPDH
EP300	HKDC1
HIF1A	GAPDH
MAPK10	IL12B
