KCNJ1	SLC9A3R1
SLC9A3R1	YAP1
YAP1	MUS81
MUS81	ELK4
SLC9A3R1	CAPN1
CAPN1	FHL2
FHL2	SRF
SLC9A3R1	YWHAZ
YWHAZ	CTNNB1
CTNNB1	TCF3
TCF3	ELK3
YAP1	CREB1
CAPN1	STAT3
SLC9A3R1	YWHAQ
YWHAQ	ESR1
SLC9A3R1	PIK3CA
PIK3CA	STAT1
YWHAZ	HDAC4
HDAC4	ATF2
YWHAZ	APP
APP	ELK1
YWHAZ	PRKCD
PRKCD	FLI1
YWHAZ	TP53
TP53	ETS2
YAP1	EP300
EP300	ATF4
YWHAZ	RFWD2
RFWD2	ETV4
YWHAZ	COPS5
COPS5	CREB3
CTNNB1	ELAVL1
ELAVL1	CREB3L2
SLC9A3R1	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
SLC9A3R1	PDGFRB
PDGFRB	TRIP6
TRIP6	CREB5
YAP1	PTCH1
PTCH1	ATF6B
PTGS1	CAV1
CAV1	MAPK3
MAPK3	ELK4
CAV1	CTNNB1
CTNNB1	CREBBP
CREBBP	SRF
CAV1	PPP1CA
PPP1CA	CREB1
CAV1	EGFR
EGFR	STAT3
CAV1	ESR1
EGFR	STAT1
CAV1	MAPK1
MAPK1	ATF2
CAV1	SNCA
SNCA	ELK1
CTNNB1	BRCA1
BRCA1	FLI1
PTGS1	PTGS2
PTGS2	EP300
EP300	ETS2
CAV1	SMAD2
SMAD2	ETV4
CAV1	MALL
MALL	CREB3
CAV1	VDAC1
VDAC1	TSPO
TSPO	CREB3L1
CAV1	TRAF2
TRAF2	CREB5
CAV1	PTCH1
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	FXYD4
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
ATF2	FOS
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
TFAP2A	ADRA1A
CREB1	ADRB2
CEBPB	AFP
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
ATF1	PLAUR
E2F4	POLA
MYB	POLA
CREB1	POLD2
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
CEBPA	PREB
